TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	685814.0	683331.6	689061.9
2000000.0	1275502.0	1270556.3	1281815.3
3000000.0	1833827.5	1826581.4	1843070.6
4000000.0	2371662.0	2362140.7	2383697.5
5000000.0	2893829.0	2882187.3	2908605.0
6000000.0	3403323.5	3389560.0	3420726.6
7000000.0	3901930.0	3886160.5	3921912.7
8000000.0	4391076.5	4373344.4	4413613.4
9000000.0	4871767.0	4852137.6	4896759.4
10000000.0	5344822.0	5323316.3	5372229.2
11000000.0	5810850.0	5787534.7	5840644.9
12000000.0	6270431.0	6245292.1	6302559.9
13000000.0	6724026.5	6697111.8	6758403.5
14000000.0	7171949.5	7143339.2	7208607.1
15000000.0	7614617.0	7584273.1	7653492.7
16000000.0	8052249.5	8020247.9	8093325.8
17000000.0	8485137.5	8451505.4	8528370.4
18000000.0	8913543.5	8878300.3	8958905.4
19000000.0	9337632.0	9300791.8	9385107.2
20000000.0	9757612.0	9719218.0	9807155.4
21000000.0	10173666.0	10133723.9	10225239.5
22000000.0	10585922.0	10544445.5	10639514.8
23000000.0	10994519.0	10951551.8	11050142.2
24000000.0	11399634.5	11355160.2	11457196.1
25000000.0	11801349.0	11755395.4	11860861.5
26000000.0	12199785.0	12152393.4	12261246.4
27000000.0	12595057.5	12546223.7	12658397.8
28000000.0	12987251.5	12937011.8	13052480.2
29000000.0	13376475.0	13324822.0	13443550.5
30000000.0	13762797.0	13709760.5	13831720.4
31000000.0	14146316.0	14091927.6	14217075.7
32000000.0	14527089.5	14471339.5	14599656.0
33000000.0	14905218.0	14848112.6	14979564.9
34000000.0	15280748.0	15222298.2	15356852.4
35000000.0	15653736.0	15593986.2	15731618.8
36000000.0	16024270.5	15963222.3	16103875.9
37000000.0	16392377.0	16330046.6	16473726.1
38000000.0	16758157.0	16694550.5	16841190.0
39000000.0	17121611.0	17056739.4	17206340.5
40000000.0	17482837.5	17416717.6	17569243.7
41000000.0	17841881.0	17774500.2	17929919.6
42000000.0	18198739.5	18130135.6	18288433.7
43000000.0	18553496.0	18483678.2	18644809.4
44000000.0	18906205.5	18835152.0	18999136.4
45000000.0	19256902.5	19184625.8	19351390.4
46000000.0	19605573.0	19532122.4	19701667.0
47000000.0	19952313.5	19877664.1	20049961.6
48000000.0	20297147.0	20221334.9	20396365.2
49000000.0	20640099.0	20563105.8	20740849.2
50000000.0	20981206.0	20903059.1	21083489.0
51000000.0	21320489.0	21241211.4	21424313.9
52000000.0	21658011.5	21577591.0	21763342.3
53000000.0	21993768.5	21912240.9	22100603.0
54000000.0	22327799.0	22245167.3	22436132.8
55000000.0	22660137.0	22576414.9	22769966.0
56000000.0	22990819.0	22906003.9	23102120.1
57000000.0	23319861.5	23233964.9	23432630.6
58000000.0	23647281.0	23560320.7	23761518.7
59000000.0	23973118.5	23885103.8	24088810.2
60000000.0	24297394.5	24208330.4	24414524.1
61000000.0	24620139.0	24530024.4	24738689.9
62000000.0	24941370.5	24850217.2	25061335.4
63000000.0	25261097.0	25168910.3	25382473.4
64000000.0	25579352.0	25486142.5	25702136.1
65000000.0	25896160.0	25801944.0	26020332.7
66000000.0	26211529.5	26116308.2	26337092.1
67000000.0	26525494.5	26429273.4	26652428.2
68000000.0	26838061.0	26740851.4	26966367.2
69000000.0	27149263.5	27051059.9	27278910.9
70000000.0	27459107.5	27359926.3	27590097.0
71000000.0	27767612.5	27667459.2	27899944.0
72000000.0	28074796.0	27973677.3	28208458.4
73000000.0	28380684.5	28278608.6	28515658.5
74000000.0	28685273.0	28582249.2	28821575.6
75000000.0	28988602.5	28884623.4	29126208.9
76000000.0	29290676.0	29185761.6	29429575.6
77000000.0	29591509.0	29485661.4	29731695.7
78000000.0	29891120.0	29784340.7	30032593.1
79000000.0	30189514.5	30081819.4	30332269.0
80000000.0	30486720.5	30378110.8	30630729.1
81000000.0	30782736.5	30673224.6	30928011.8
82000000.0	31077599.0	30967175.2	31224122.5
83000000.0	31371296.0	31259982.1	31519064.6
84000000.0	31663862.0	31551649.6	31812867.0
85000000.0	31955290.0	31842191.0	32105526.5
86000000.0	32245605.0	32131631.1	32397067.8
87000000.0	32534818.5	32419970.0	32687497.1
88000000.0	32822945.5	32707218.6	32976831.9
89000000.0	33109982.0	32993397.1	33265079.4
90000000.0	33395960.5	33278514.5	33552249.7
91000000.0	33680876.5	33562577.3	33838354.3
92000000.0	33964745.5	33845601.2	34123412.0
93000000.0	34247584.0	34127594.6	34407429.0
94000000.0	34529401.0	34408569.0	34690411.1
95000000.0	34810201.5	34688532.0	34972372.1
96000000.0	35089995.5	34967498.1	35253330.1
97000000.0	35368800.0	35245477.1	35533284.7
98000000.0	35646623.0	35522481.0	35812247.3
99000000.0	35923467.5	35798510.5	36090237.3
100000000.0	36199345.5	36073581.5	36367252.4
101000000.0	36474276.0	36347702.0	36643308.4
102000000.0	36748260.5	36620882.2	36918413.5
103000000.0	37021301.0	36893128.7	37192574.8
104000000.0	37293421.0	37164458.6	37465798.5
105000000.0	37564618.0	37434862.0	37738104.7
106000000.0	37834904.5	37704368.1	38009492.2
107000000.0	38104289.0	37972972.7	38279971.3
108000000.0	38372781.5	38240688.1	38549549.1
109000000.0	38640388.0	38507524.7	38818237.9
110000000.0	38907112.5	38773483.6	39086039.8
111000000.0	39172971.0	39038579.0	39352973.0
112000000.0	39437967.5	39302815.5	39619032.5
113000000.0	39702106.5	39566201.0	39884233.3
114000000.0	39965399.0	39828739.9	40148585.6
115000000.0	40227851.5	40090447.2	40412090.5
116000000.0	40489472.5	40351324.7	40674755.8
117000000.0	40750266.5	40611380.5	40936589.6
118000000.0	41010244.5	40870621.5	41197603.8
119000000.0	41269406.0	41129054.9	41457799.1
120000000.0	41527764.0	41386686.2	41717185.3
121000000.0	41785326.5	41643522.6	41975768.0
122000000.0	42042093.5	41899572.5	42233552.8
123000000.0	42298077.0	42154838.9	42490550.9
124000000.0	42553282.0	42409332.2	42746762.1
125000000.0	42807713.0	42663056.1	43002196.8
