TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	513862.0	504986.7	525282.4
2000000.0	968631.0	951501.6	990185.2
3000000.0	1406035.5	1381020.5	1436964.1
4000000.0	1831946.0	1799071.5	1872127.7
5000000.0	2249009.5	2208588.1	2298124.0
6000000.0	2658601.0	2610960.7	2716362.9
7000000.0	3062015.5	3007073.0	3128393.8
8000000.0	3459756.0	3397969.3	3534506.8
9000000.0	3852507.5	3783567.4	3935566.0
10000000.0	4240384.0	4164760.0	4331752.2
11000000.0	4624163.0	4541904.3	4723312.4
12000000.0	5003819.5	4915023.2	5110761.2
13000000.0	5379761.5	5284255.2	5494466.5
14000000.0	5752158.0	5650327.3	5874409.9
15000000.0	6120909.5	6012955.5	6250793.2
16000000.0	6486733.5	6372210.8	6623905.5
17000000.0	6849056.0	6728672.0	6993680.8
18000000.0	7208550.5	7082010.3	7360442.7
19000000.0	7565298.5	7432664.5	7724043.4
20000000.0	7918944.5	7780650.1	8085035.8
21000000.0	8270091.0	8125930.0	8442980.8
22000000.0	8618844.5	8468636.0	8798456.0
23000000.0	8964747.5	8808976.3	9151274.1
24000000.0	9308156.0	9146887.2	9501571.7
25000000.0	9649383.5	9482483.4	9849479.5
26000000.0	9988374.0	9815768.9	10194767.9
27000000.0	10324882.5	10146892.4	10538000.7
28000000.0	10659286.0	10475938.6	10878757.5
29000000.0	10991541.5	10802778.6	11217336.9
30000000.0	11321597.5	11127720.9	11553799.8
31000000.0	11649758.5	11450566.7	11888161.6
32000000.0	11975735.0	11771301.8	12220422.5
33000000.0	12299928.5	12090459.5	12550529.6
34000000.0	12622113.0	12407459.4	12878929.8
35000000.0	12942473.5	12722764.4	13205183.9
36000000.0	13260929.0	13036289.7	13529684.3
37000000.0	13577619.0	13348063.2	13852129.2
38000000.0	13892437.0	13658062.2	14172920.9
39000000.0	14205617.5	13966260.2	14491840.6
40000000.0	14516951.5	14272954.9	14809009.4
41000000.0	14826828.0	14578090.4	15124445.1
42000000.0	15134897.5	14881380.8	15438259.4
43000000.0	15441485.0	15183183.9	15750227.7
44000000.0	15746280.0	15483430.6	16060580.0
45000000.0	16049531.0	15782229.6	16369469.0
46000000.0	16351373.5	16079315.0	16676614.4
47000000.0	16651581.5	16375089.8	16982368.2
48000000.0	16950355.0	16669264.2	17286412.0
49000000.0	17247525.5	16962171.5	17589016.8
50000000.0	17543583.0	17253482.4	17890028.8
51000000.0	17837902.0	17543510.9	18189628.8
52000000.0	18130782.0	17832208.7	18487913.4
53000000.0	18422388.0	18119492.0	18784541.5
54000000.0	18712545.5	18405386.3	19079819.0
55000000.0	19001474.0	18689960.4	19373760.1
56000000.0	19289000.0	18973459.1	19666222.9
57000000.0	19575263.0	19255484.0	19957446.4
58000000.0	19860275.0	19536254.9	20247258.4
59000000.0	20143823.5	19815590.4	20535830.2
60000000.0	20426078.5	20094026.5	20822996.9
61000000.0	20707296.0	20371046.9	21108964.1
62000000.0	20987101.0	20646834.5	21393593.7
63000000.0	21265715.0	20921484.6	21676986.5
64000000.0	21543297.0	21195025.6	21959064.0
65000000.0	21819364.5	21467332.2	22240148.4
66000000.0	22094510.0	21738536.9	22519819.3
67000000.0	22368514.5	22008554.3	22798358.2
68000000.0	22641171.5	22277559.8	23075668.0
69000000.0	22912848.0	22545386.5	23351892.7
70000000.0	23183444.5	22812001.2	23626952.1
71000000.0	23452729.0	23077561.1	23900658.3
72000000.0	23721021.0	23342281.5	24173381.1
73000000.0	23988356.5	23605691.8	24445067.2
74000000.0	24254453.5	23868145.0	24715629.0
75000000.0	24519414.0	24129528.9	24985046.3
76000000.0	24783390.0	24389957.9	25253349.9
77000000.0	25046443.5	24649234.1	25520708.8
78000000.0	25308344.5	24907626.4	25786912.4
79000000.0	25569225.5	25165030.2	26051989.6
80000000.0	25829271.5	25421379.6	26316220.8
81000000.0	26088252.5	25676720.8	26579211.3
82000000.0	26346184.5	25931096.5	26841300.6
83000000.0	26603043.5	26184649.8	27102439.4
84000000.0	26859061.5	26437264.5	27362445.1
85000000.0	27114044.0	26688957.2	27621546.6
86000000.0	27368147.0	26939409.2	27879705.6
87000000.0	27621282.0	27189221.5	28136705.9
88000000.0	27873463.5	27438025.6	28393024.2
89000000.0	28124704.5	27685936.2	28648174.0
90000000.0	28375085.0	27933038.5	28902436.9
91000000.0	28624512.0	28179174.8	29155774.9
92000000.0	28872935.5	28424361.7	29408211.1
93000000.0	29120600.0	28668704.4	29659709.9
94000000.0	29367487.0	28912374.8	29910418.2
95000000.0	29613326.0	29154869.8	30160091.4
96000000.0	29858329.0	29396760.5	30408944.6
97000000.0	30102578.0	29637728.1	30656856.9
98000000.0	30345736.5	29877886.2	30903719.2
99000000.0	30588241.5	30117172.8	31149955.9
100000000.0	30829826.0	30355774.8	31395273.0
101000000.0	31070597.5	30593376.0	31639796.1
102000000.0	31310671.5	30830285.0	31883448.6
103000000.0	31549693.5	31066339.5	32126151.4
104000000.0	31788130.0	31301619.5	32368124.7
105000000.0	32025673.0	31536188.9	32609191.4
106000000.0	32262339.0	31769875.0	32849518.2
107000000.0	32498293.5	32002740.5	33088996.3
108000000.0	32733407.0	32234927.2	33327661.2
109000000.0	32967793.0	32466441.8	33565518.4
110000000.0	33201373.0	32697018.6	33802577.3
111000000.0	33434214.0	32926986.9	34038932.8
112000000.0	33666345.5	33156070.9	34274394.5
113000000.0	33897553.5	33384473.4	34509230.2
114000000.0	34128272.5	33612239.4	34743203.8
115000000.0	34358030.5	33839207.4	34976381.6
116000000.0	34587045.5	34065560.0	35208732.9
117000000.0	34815466.0	34291008.0	35440451.1
118000000.0	35043168.0	34515754.0	35671484.9
119000000.0	35270047.0	34739952.6	35901650.5
120000000.0	35496192.0	34963329.8	36131108.6
121000000.0	35721732.0	35186055.1	36359825.7
122000000.0	35946526.5	35408056.8	36587823.5
123000000.0	36170594.0	35629404.2	36815233.0
124000000.0	36393940.0	35850066.2	37041732.0
125000000.0	36616681.5	36070092.8	37267695.2
126000000.0	36838609.5	36289453.8	37492862.1
127000000.0	37059963.0	36508067.2	37717347.7
128000000.0	37280595.0	36725991.6	37941083.1
129000000.0	37500640.0	36943381.3	38164161.3
130000000.0	37719983.0	37160067.0	38386704.2
131000000.0	37938613.5	37376137.1	38608531.1
132000000.0	38156510.5	37591513.6	38829432.8
133000000.0	38373992.5	37806247.4	39049877.8
134000000.0	38590672.5	38020350.9	39269538.1
135000000.0	38806704.5	38233823.3	39488658.6
136000000.0	39022105.5	38446802.9	39707106.5
137000000.0	39236920.5	38659013.1	39924882.2
138000000.0	39450981.5	38870597.7	40141989.5
139000000.0	39664599.0	39081685.9	40358476.6
140000000.0	39877450.0	39292130.1	40574316.3
141000000.0	40089753.0	39501868.0	40789439.6
142000000.0	40301356.5	39711012.7	41004058.7
143000000.0	40512550.0	39919680.5	41218079.0
144000000.0	40722882.5	40127670.7	41431329.3
145000000.0	40932813.5	40335075.3	41644083.7
146000000.0	41141955.5	40541922.7	41856156.9
147000000.0	41350747.5	40748188.1	42067667.5
148000000.0	41558713.5	40953852.0	42278493.7
149000000.0	41766299.5	41158882.1	42488849.1
150000000.0	41973148.0	41363508.4	42698483.1
151000000.0	42179552.5	41567442.2	42907571.4
152000000.0	42385173.0	41770843.6	43116054.5
153000000.0	42590324.0	41973679.0	43323997.3
154000000.0	42795042.0	42175968.5	43531310.6
155000000.0	42999094.5	42377749.2	43738164.4
156000000.0	43202448.5	42578840.0	43944274.6
157000000.0	43405460.5	42779488.8	44149887.4
158000000.0	43607780.5	42979624.2	44354876.7
159000000.0	43809572.5	43179081.3	44559342.3
160000000.0	44010833.0	43378210.8	44763292.2
161000000.0	44211556.5	43576598.4	44966650.6
162000000.0	44411793.5	43774540.7	45169469.2
163000000.0	44611354.0	43971970.1	45371647.3
164000000.0	44810424.5	44168902.1	45573317.5
165000000.0	45009062.5	44365210.3	45774506.8
166000000.0	45207086.0	44560992.6	45975077.5
167000000.0	45404584.0	44756427.0	46175144.8
