,Basal,Secretory-1,Secretory-2,Secretory-3,Multiciliated,Ionocyte/Tuft,PNEC,Cell cycle,Ribosomal,Shared-1,Shared-2,Shared-3,CHIR,IL13,IFNA,IFNG-1,IFNG-2,IFNG-3,TGFB1-1,TGFB1-2
A2ML1,0.00E+00,2.95E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.14E-03,1.44E-03,0.00E+00,1.52E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ABCA1,4.05E-04,8.49E-04,0.00E+00,0.00E+00,0.00E+00,3.66E-05,0.00E+00,0.00E+00,0.00E+00,5.05E-04,2.99E-04,0.00E+00,4.44E-04,0.00E+00,8.31E-05,9.98E-05,0.00E+00,9.01E-05,1.30E-03,1.30E-03
ABCA12,4.22E-05,3.21E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.90E-05,2.82E-05,8.72E-04,9.94E-04,0.00E+00,0.00E+00,0.00E+00,1.03E-04,6.61E-04,0.00E+00,8.16E-04,3.59E-04,1.74E-06
ABCA13,0.00E+00,0.00E+00,1.69E-03,0.00E+00,1.15E-03,0.00E+00,0.00E+00,0.00E+00,2.30E-04,0.00E+00,0.00E+00,0.00E+00,1.66E-05,2.03E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ABHD2,2.08E-04,1.03E-03,1.79E-04,5.77E-04,1.34E-03,1.27E-03,1.30E-03,2.57E-04,4.88E-04,0.00E+00,3.70E-04,0.00E+00,6.75E-04,3.74E-04,0.00E+00,1.94E-04,0.00E+00,8.65E-04,1.23E-03,5.34E-04
ABL2,7.59E-07,5.32E-05,1.02E-04,1.32E-04,1.18E-04,5.58E-05,0.00E+00,0.00E+00,1.30E-04,1.40E-03,0.00E+00,1.25E-03,3.79E-04,1.98E-05,3.15E-04,1.42E-03,2.01E-04,2.99E-04,8.86E-04,7.07E-04
ABLIM1,5.69E-04,1.48E-03,9.59E-04,1.98E-03,5.11E-04,1.77E-04,2.81E-04,3.58E-05,2.50E-04,2.32E-04,1.43E-03,0.00E+00,1.40E-04,5.91E-04,1.36E-04,6.14E-04,8.43E-05,1.60E-04,2.05E-04,0.00E+00
ABLIM3,2.85E-04,8.91E-04,8.55E-05,0.00E+00,1.43E-04,0.00E+00,0.00E+00,9.67E-06,7.26E-07,8.98E-04,4.18E-04,6.74E-04,0.00E+00,2.95E-04,0.00E+00,9.91E-04,3.01E-04,1.10E-03,5.78E-04,0.00E+00
ABRAXAS2,2.13E-04,2.68E-04,2.47E-04,2.32E-04,1.81E-04,2.01E-04,2.42E-04,1.52E-04,3.38E-04,0.00E+00,1.98E-04,1.13E-04,1.69E-05,2.20E-04,2.58E-04,5.96E-04,2.44E-04,6.83E-04,1.83E-04,2.39E-04
ABTB2,1.32E-04,1.97E-05,0.00E+00,0.00E+00,0.00E+00,3.24E-04,3.41E-05,0.00E+00,7.23E-05,2.07E-04,2.59E-05,2.25E-04,8.17E-05,0.00E+00,0.00E+00,1.50E-04,1.14E-04,6.84E-04,1.09E-03,4.63E-04
AC002066.1,7.41E-05,6.00E-05,6.01E-06,2.60E-05,1.67E-05,0.00E+00,0.00E+00,7.71E-05,3.72E-06,1.85E-05,2.07E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E-05,1.87E-04,0.00E+00,0.00E+00,0.00E+00
AC002076.1,5.12E-06,7.49E-05,5.65E-05,0.00E+00,0.00E+00,1.78E-05,0.00E+00,6.50E-04,0.00E+00,0.00E+00,2.60E-05,0.00E+00,7.60E-05,1.55E-05,0.00E+00,0.00E+00,6.28E-05,7.24E-05,3.08E-05,0.00E+00
AC002401.4,3.12E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.74E-04,0.00E+00,0.00E+00,6.16E-05,4.13E-05,5.13E-04,0.00E+00,0.00E+00,2.89E-04
AC004816.1,2.16E-04,0.00E+00,5.99E-05,0.00E+00,7.96E-05,3.99E-05,6.87E-05,0.00E+00,6.63E-05,5.37E-04,6.13E-04,6.60E-04,1.17E-04,4.69E-05,0.00E+00,0.00E+00,9.27E-04,6.05E-04,4.44E-04,1.08E-04
