,Shared-1,Shared-2,Shared-3,CHIR,IL13,IFNA,IFNG-1,IFNG-2,IFNG-3,TGFB1-1,TGFB1-2
AT1,0.30815762905539357,1.0941700630731725,,0.5478274269314245,,2.115672933810986,0.8767126707782262,1.3629485339064669,,0.10238833744671214,
AT2,0.16482821284032093,1.4790942117720765,0.5069853789975758,1.0765568870142337,0.825067528219632,3.403257803163834,1.1765118606620741,0.48237924771797314,0.5973310290771463,0.791735754521575,0.22552914823091727
Airway basal,,,,,,,,,,,
Airway ciliated,,,,,,0.9434988876093674,,,0.30527846025710315,,
Airway club,,,,,,2.0875043368606536,0.4885816452317696,,,,
Airway goblet,,,,,0.8401632599554191,,,,,,
Airway mucous,,,,,,,1.0251963872630117,1.3703929599649205,,1.1577063931123965,
Cycling epithelial,,,0.6243682718086632,,,,,,,,
ECM-high epithelial,,,,1.2325608834498905,,,1.3259519658871908,,,,0.9919155220040226
Tuft-like,,,,,,,,,,,
