,Genes,Cell type,Log2FC,FDR
0,ALDH1A3,Basal,1.345411,1.777439720776184e-46
1,ALDH3A1,Basal,-1.7125182,4.02036256605419e-133
2,ANXA1,Basal,1.1219475,3.8262936111655474e-109
3,ATP12A,Basal,1.17326,6.831987515012246e-13
4,C10orf99,Basal,1.2861911,1.2617906674823064e-43
5,C15orf48,Basal,1.6370223,1.032407611320465e-37
6,CD24,Basal,2.2836356,0.0
7,CD59,Basal,1.0915921,1.4579578164175977e-186
8,CDKN1A,Basal,1.7325149,0.0
9,CEACAM5,Basal,1.1807958,5.2819879615573124e-15
10,CEACAM6,Basal,2.533565,5.485040279122215e-46
11,CLU,Basal,-1.7799745,2.05836619402775e-152
12,CP,Basal,-1.1022606,7.582895574469607e-62
13,CXCL14,Basal,2.747649,8.525443777959966e-107
14,ECM1,Basal,1.260991,5.757129954697241e-39
15,FN1,Basal,2.4970026,1.3702038784853355e-49
16,GNAS,Basal,1.1840649,0.0
17,HOPX,Basal,1.6144146,1.1136809615787917e-20
18,ID2,Basal,1.8198752,1.1444082500060805e-199
19,ID3,Basal,1.8530371,0.0
20,ITGA6,Basal,1.1032307,3.5635146106170822e-59
21,KRT10,Basal,2.2494116,5.709270784075123e-29
22,KRT14,Basal,1.5821702,4.3842506620583444e-44
23,KRT16,Basal,1.5707934,5.514461471797671e-07
24,KRT6A,Basal,1.9163003,1.1095034974922078e-245
25,KRT6B,Basal,1.1630794,1.9425958499387835e-13
26,KRT6C,Basal,1.0372634,0.005965273789419089
27,KRT7,Basal,1.3201386,9.628775189231e-97
28,LAMC2,Basal,1.3917952,1.070588071626018e-56
29,LINC01641,Basal,-1.0727072,2.5419706504066287e-118
30,MALL,Basal,1.6701308,6.463246799412643e-222
31,MT1X,Basal,-1.3112388,2.0650818814128917e-107
32,MUC1,Basal,-1.1976452,6.144416862231202e-171
33,NET1,Basal,1.1247303,2.5363973067739587e-87
34,PERP,Basal,1.035176,1.8903405615968636e-182
35,PMEPA1,Basal,1.2025168,9.504481357028593e-80
36,PSCA,Basal,1.6428922,7.771296159286116e-26
37,RAB11FIP1,Basal,1.0512688,1.179552585107545e-23
38,RPL18,Basal,-1.0666909,1.4884374837031687e-286
39,RPL29,Basal,-1.0349894,7.519821204317687e-296
40,RPS14,Basal,-1.0904479,0.0
41,RPS18,Basal,-1.0039294,2.2688953744201623e-299
42,RPS2,Basal,-1.1256409,0.0
43,RPS3,Basal,-1.0721571,0.0
44,S100P,Basal,1.8808743,9.996231382414226e-65
45,SC5D,Basal,1.0568871,5.804749497512806e-56
46,SERPINA3,Basal,-1.1097071,7.915813278373819e-20
47,SERPINB3,Basal,-1.5590305,1.0770992957814615e-152
48,SERPINB5,Basal,1.4327388,6.737207415676958e-175
49,SERPINE1,Basal,1.4878063,3.8235853636969586e-26
50,SPRR1B,Basal,1.771597,2.165101406938672e-87
51,SPRR3,Basal,3.42474,1.9530608491686708e-56
52,TGFBI,Basal,1.3929182,4.844347052982894e-61
53,TIMP3,Basal,1.257917,1.3213060367830697e-42
54,TMBIM1,Basal,1.0882055,6.575020239843546e-103
55,TPM1,Basal,1.6039047,4.6807766696967275e-84
56,TRAM1,Basal,1.3454448,4.4114420043500025e-132
57,WFDC21P,Basal,1.0460411,4.071962745149605e-07
58,ABLIM1,Secretory,1.1016449,5.7470318412451954e-67
59,ALDH1A3,Secretory,1.5732338,9.438997309055984e-95
60,ANXA1,Secretory,1.1299369,1.6303621919264692e-71
61,APOL1,Secretory,1.22017,1.1162823609111174e-65
62,APOL2,Secretory,1.3076038,3.7037385262885466e-34
63,ATOH8,Secretory,1.0556589,5.11519063498067e-35
64,ATP12A,Secretory,2.0183487,1.9180385873391044e-95
65,BPIFA1,Secretory,-3.2931566,2.5370095608422627e-212
66,BPIFB1,Secretory,-3.4626138,4.0980149703217915e-240
67,CD24,Secretory,1.7432508,5.802478008712565e-172
68,CD74,Secretory,-1.1507459,6.697229752431718e-120
69,CDC42EP3,Secretory,1.4706696,1.1531578365955058e-61
70,CDKN1A,Secretory,2.2932022,9.73889469270727e-260
71,CEACAM5,Secretory,1.6767365,1.769919304628491e-46
72,CEACAM6,Secretory,2.385138,2.754966969965237e-192
73,CKB,Secretory,1.052808,1.1853938432231237e-07
74,CLU,Secretory,-1.7116915,9.044072907523916e-53
75,CP,Secretory,-1.7764047,9.87543835569261e-177
76,CYP2F1,Secretory,-1.8877578,1.4209808846383633e-71
77,ERRFI1,Secretory,1.0421264,1.2281902499172414e-22
78,GPRC5A,Secretory,1.0231979,8.92644338449308e-50
79,GSN,Secretory,1.4465919,4.441756746763103e-177
80,HSD11B2,Secretory,2.1375275,3.4713549882506195e-124
81,ID2,Secretory,1.8872055,4.760437021528922e-155
82,ID3,Secretory,2.030488,1.1557203440539008e-243
83,IFITM3,Secretory,-1.0265601,1.0599796289200816e-82
84,IL1RN,Secretory,1.1123793,1.2319429850696259e-22
85,KLF2,Secretory,1.1097226,8.152328948099062e-15
86,KLF4,Secretory,1.0093341,3.122637407109752e-12
87,KRT13,Secretory,1.3859267,5.885025797336865e-38
88,KRT15,Secretory,1.0270354,9.049240173375292e-13
89,KRT5,Secretory,1.994357,2.5801144788034127e-22
90,KRT6A,Secretory,2.1979408,1.2905576427710127e-67
91,LY6D,Secretory,1.1411431,0.00047678458029027976
92,MALL,Secretory,1.7442255,5.219080482911167e-136
93,MARCKS,Secretory,1.0035108,3.61393987100858e-60
94,MSMB,Secretory,-1.2350812,5.1349835455288927e-39
95,MT2A,Secretory,-1.0458012,2.5237269261148417e-36
96,MUC5B,Secretory,-3.805203,1.6091925081952313e-230
97,PFKFB3,Secretory,1.0053365,4.706203263367052e-28
98,PHACTR3,Secretory,1.2450653,2.0463527681181488e-24
99,PIP,Secretory,1.3166587,2.381078374172808e-35
100,PLEKHS1,Secretory,-1.3269922,2.707798193197079e-101
101,PSCA,Secretory,2.7761312,9.094605334651385e-118
102,RARRES1,Secretory,-2.3655756,2.3646410829707766e-182
103,RHOBTB3,Secretory,1.5378225,1.900131599848364e-143
104,S100A10,Secretory,1.2743181,1.597817668342774e-60
105,S100P,Secretory,1.8291011,3.7917656820560286e-238
106,SAA1,Secretory,-1.1438394,8.147713984833766e-32
107,SAA2,Secretory,-1.1952553,4.873530403856462e-35
108,SCGB1A1,Secretory,-3.4696562,1.2704118821039693e-25
109,SCGB3A1,Secretory,-3.8820949,7.451871926890072e-225
110,SDC1,Secretory,1.1180154,2.0060094117895063e-57
111,SERPINA3,Secretory,-2.7309241,4.3428274861892783e-193
112,SERPINB2,Secretory,1.1662236,3.308996002458595e-18
113,SERPINB3,Secretory,-1.1084466,3.8770801807531336e-106
114,SLC26A2,Secretory,-1.1758238,3.558254909251974e-41
115,SLPI,Secretory,-1.7060671,4.4867114613792926e-228
116,SPRR1B,Secretory,1.5061532,4.6419794683015656e-30
117,SPRR3,Secretory,2.4209292,1.9932820462556674e-65
118,TACSTD2,Secretory,1.0035334,3.85866218118176e-96
119,TFF3,Secretory,-1.3420496,8.554641748017875e-08
120,TGM2,Secretory,-1.4358431,3.2598290172791163e-80
121,TMBIM1,Secretory,1.2124885,1.5513414696560008e-57
122,TNFAIP2,Secretory,-1.0561537,3.2382928468701042e-46
123,UCA1,Secretory,1.4853686,6.269296448922694e-38
124,UPK1B,Secretory,1.4268596,1.3310845153086667e-67
125,VMO1,Secretory,-2.3694658,5.339927309467393e-153
126,WFDC2,Secretory,-1.0050197,7.837149663326581e-198
127,XBP1,Secretory,-2.0336862,9.599222157591776e-225
128,ABLIM1,Multiciliated,1.2307514,5.351742126125236e-50
129,ALDH1A3,Multiciliated,1.7241377,3.8411848673202403e-41
130,ALOX15,Multiciliated,-1.6420664,8.123454301837563e-63
131,APOL1,Multiciliated,1.4966824,8.000485097633874e-55
132,ASS1,Multiciliated,1.0856661,1.1365910438758578e-23
133,ATP12A,Multiciliated,1.5188913,8.499139970752557e-18
134,BPIFA1,Multiciliated,-1.1922908,2.1888550283163436e-09
135,CDKN1A,Multiciliated,1.160985,2.1806099820535283e-87
136,CEACAM6,Multiciliated,1.2281042,6.4345091289839084e-06
137,CLU,Multiciliated,-1.1408207,4.24273382845351e-54
138,CXCL1,Multiciliated,1.043255,3.6842538568565757e-07
139,CXCL8,Multiciliated,1.8093543,1.0782407570643315e-25
140,GDF15,Multiciliated,1.034044,1.7298916334542277e-18
141,GSN,Multiciliated,1.3147116,3.0547833850945214e-128
142,H19,Multiciliated,1.5463912,2.631066193122788e-37
143,ID2,Multiciliated,1.4801853,3.2190695999555046e-50
144,ID3,Multiciliated,1.3351549,2.1014130363162604e-62
145,IER3,Multiciliated,1.1222799,1.359135806220895e-14
146,IGFBP3,Multiciliated,1.5667746,2.7407827424227193e-74
147,KRT13,Multiciliated,1.3895423,5.3309455502555096e-17
148,KRT17,Multiciliated,1.3368719,2.4112911067663634e-32
149,KRT4,Multiciliated,1.2740146,1.3302777268957962e-19
150,KRT5,Multiciliated,1.5252235,2.4177365721767084e-13
151,KRT6A,Multiciliated,1.9200273,2.543276441123767e-16
152,KRT7,Multiciliated,1.2875892,5.169277821048204e-37
153,LY6D,Multiciliated,1.4598161,5.288727382873912e-18
154,MALL,Multiciliated,1.267298,3.2267798728026024e-28
155,MUC5B,Multiciliated,-1.532353,0.00018388342263968727
156,NCOA7,Multiciliated,1.0145739,2.5854923614465324e-20
157,NFKBIA,Multiciliated,1.1202886,8.368454559735188e-22
158,RHOBTB3,Multiciliated,1.5195237,1.3031508685794228e-41
159,S100P,Multiciliated,2.2644951,1.7305146700323612e-131
160,SERPINB2,Multiciliated,1.4482219,7.486760637153447e-49
