,Genes,Cell type,Log2FC,FDR
0,ACKR3,Basal,-1.5403132,1.5509984510104032e-152
1,ACSL1,Basal,1.0405507,9.122463960076347e-45
2,ADAMTS5,Basal,1.0918351,3.97663411557601e-29
3,ALDH1A1,Basal,-1.1926771,1.6315302598050602e-53
4,APOL1,Basal,-1.0268898,1.1401969444858882e-45
5,ARL4C,Basal,1.8682919,1.0293067639962132e-99
6,B2M,Basal,1.402098,2.5962685775350593e-209
7,B3GNT5,Basal,1.1603637,4.627138444067186e-57
8,BAG1,Basal,-1.008289,1.0395876532019548e-101
9,BRI3,Basal,1.0879158,6.570962949433709e-107
10,C15orf48,Basal,1.2983243,2.1421609334607596e-27
11,C3,Basal,-1.0482188,3.96478638119164e-32
12,C4orf3,Basal,1.0678469,1.0890170546845964e-83
13,CA12,Basal,-1.0013654,2.16237835582592e-52
14,CAV1,Basal,-1.266047,2.0912551831345386e-61
15,CCDC80,Basal,1.2973783,4.702105417218585e-75
16,CD24,Basal,1.4230499,4.719915595818461e-195
17,CD74,Basal,1.1990774,3.4038954524656854e-59
18,CDKN1A,Basal,1.4962528,2.1256583326184992e-178
19,CDKN2B,Basal,1.7866523,4.066084752877757e-169
20,CEACAM5,Basal,1.9080383,1.2809914950795922e-32
21,CEACAM6,Basal,3.1461473,2.643502286435505e-72
22,CLDN4,Basal,1.5012709,1.8564339461228573e-58
23,CLU,Basal,-1.3146038,1.2075176776421272e-58
24,CP,Basal,-1.0773445,5.719369446990988e-36
25,CRYBA2,Basal,1.5212997,2.1835498631578408e-42
26,CSTA,Basal,-2.1638536,2.6517032806660947e-248
27,CSTB,Basal,1.669178,1.9172539403567087e-55
28,CTSA,Basal,1.2914762,1.0714765071012142e-109
29,CXCL14,Basal,3.0709283,2.198048427440428e-41
30,DLG1,Basal,1.0293928,1.959162444754906e-67
31,DSC2,Basal,1.3946028,1.466871431230226e-95
32,EFEMP1,Basal,-1.0103097,7.848068293623536e-61
33,EIF1,Basal,1.0678003,3.970646419595248e-161
34,ENC1,Basal,1.6997631,2.7331382453490633e-114
35,EPAS1,Basal,-1.856189,2.528483273968101e-142
36,ERO1A,Basal,1.0831213,1.5808826085068719e-24
37,F3,Basal,1.2190528,2.578872314173553e-26
38,FAM83A,Basal,-1.2598819,3.8292340317811746e-128
39,FGFBP1,Basal,-1.3242432,8.134007663268616e-96
40,FGFR3,Basal,-1.4854124,6.161301982336945e-138
41,FN1,Basal,3.9416223,1.5285808552775892e-156
42,GAS1,Basal,-1.0504564,5.0337117814999935e-37
43,GDF15,Basal,2.5190647,1.5469799132784663e-39
44,GJA1,Basal,1.686688,3.526796421573673e-84
45,GLMP,Basal,1.0820259,4.2395013570120145e-78
46,GLUL,Basal,-2.9295876,0.0
47,GPNMB,Basal,2.792626,2.466380965059246e-238
48,HLA-DRA,Basal,1.5725005,4.735295379075654e-67
49,HLA-DRB1,Basal,1.281522,1.5065253577283773e-55
50,HLA-DRB5,Basal,1.0543512,8.430535578581362e-25
51,IER3,Basal,1.0074985,4.50192745564814e-77
52,IFITM3,Basal,-1.0520136,2.1922919415548184e-84
53,IGFBP6,Basal,-1.3923752,1.9716957196555305e-48
54,IGFL1,Basal,1.0343264,3.0323004482409294e-09
55,IGFL2,Basal,1.5628055,6.700315786930972e-24
56,IL20RB,Basal,-1.600729,4.03973348590946e-182
57,IL36G,Basal,1.2615492,2.646328569352472e-26
58,KLK7,Basal,1.728123,1.1677692298856528e-28
59,KRT13,Basal,1.5084548,6.114179165862453e-19
60,KRT16,Basal,1.8538289,1.4055529085321077e-35
61,KRT17,Basal,1.1103165,0.0021691082866135292
62,KRT4,Basal,-2.0662856,2.608891953205238e-24
63,KRT6A,Basal,1.5886683,3.1054304844984814e-78
64,KRT6B,Basal,3.9373114,1.1937957464153192e-171
65,KRT6C,Basal,4.151936,3.5153469445856493e-168
66,LAMP1,Basal,1.0379932,5.44787448319859e-125
67,LCN2,Basal,1.6153095,6.756409569416392e-29
68,LOXL4,Basal,-1.3270923,1.5329763096626622e-59
69,MACC1,Basal,1.0446342,4.4435532745129975e-33
70,MAFB,Basal,1.592503,1.1820190773194509e-49
71,MAL2,Basal,1.1554337,1.3629323524629284e-61
72,MAN2A1,Basal,1.0934002,1.7632283395406404e-68
73,MDK,Basal,1.1919111,4.2640327437538855e-76
74,MGAT5,Basal,1.134517,2.690589880753717e-72
75,MMP10,Basal,1.3831147,5.297764987368284e-15
76,MMP7,Basal,2.4146051,4.9083003745600835e-170
77,MT1E,Basal,-1.2371578,5.01967895762264e-70
78,MT2A,Basal,-2.631745,8.735628331274741e-200
79,NDRG1,Basal,1.0660884,6.458970529384566e-07
80,NEAT1,Basal,1.0323088,1.5021016157229974e-42
81,NMB,Basal,1.877218,3.9139931801726174e-83
82,NPC2,Basal,1.548759,1.7666696543366405e-205
83,OCIAD2,Basal,1.0054029,1.937420934423659e-63
84,PHLDA1,Basal,2.2014134,1.614824001285679e-256
85,PLAU,Basal,1.8126161,2.8763447971964216e-64
86,PRSS22,Basal,1.6536174,2.625137106971514e-41
87,PSAP,Basal,1.3728311,2.9120316159125854e-222
88,RAP2B,Basal,1.2073097,1.1283465681163699e-97
89,RBP1,Basal,1.2058753,7.395612209359621e-57
90,RNASE1,Basal,1.0780175,1.306753612923775e-16
91,SCD,Basal,1.1625072,2.4574721294156216e-74
92,SERPINA3,Basal,-1.2244741,2.3930244623654423e-11
93,SERPINB3,Basal,-3.1723046,7.01430129665854e-193
94,SERPINB4,Basal,-1.3101723,2.8789298525933113e-55
95,SLC7A8,Basal,1.1831495,9.086474209087068e-50
96,SLPI,Basal,-1.3862543,3.614429749149934e-140
97,SPRR2A,Basal,1.876072,1.0926894361241019e-26
98,SPRR3,Basal,1.8568864,3.345922504393678e-23
99,SQSTM1,Basal,1.0094919,1.9525196330695387e-59
100,ST14,Basal,1.2496206,2.0737016638813996e-111
101,TMBIM1,Basal,1.2769116,2.880862097939709e-97
102,TNFRSF21,Basal,-1.7273364,6.340206991964785e-162
103,TUBA1A,Basal,1.0000725,5.150526773920761e-35
104,TUBA1C,Basal,1.5060214,7.424532180234672e-138
105,UPK1B,Basal,-1.9181072,2.723084777142029e-141
106,VIM,Basal,2.2242675,9.597910627065533e-86
107,ZFP36L2,Basal,1.2160223,3.26165566831861e-58
108,ACSL1,Secretory,1.4561728,4.228367195868457e-80
109,AGR2,Secretory,-1.6936305,3.3977006854315624e-192
110,ALDH1A1,Secretory,-1.7177305,2.9451865382569165e-156
111,ALDH3A1,Secretory,1.8652849,2.1882344492448153e-120
112,APOL1,Secretory,-1.2884253,2.4426903410804684e-20
113,AQP5,Secretory,-1.2395971,9.057962766093319e-36
114,ATP12A,Secretory,-1.2494344,4.058730578306944e-55
115,ATP1B1,Secretory,1.0082448,3.0985991889130996e-41
116,ATP1B3,Secretory,1.0218092,2.904923227536287e-64
117,B3GNT5,Secretory,1.1102029,9.214449909478484e-54
118,BPIFA1,Secretory,-1.4028974,9.661741858441088e-110
119,BRI3,Secretory,1.2457408,2.5038131053253966e-111
120,C3,Secretory,-1.5050843,1.1974671167485837e-185
121,CD24,Secretory,1.3354926,5.689916676018237e-197
122,CDKN1A,Secretory,1.093766,2.6941698472031686e-87
123,CEACAM5,Secretory,2.1386528,6.495040773624614e-65
124,CEACAM6,Secretory,2.3184962,1.1122989182877695e-195
125,CP,Secretory,-1.961825,1.2827302412730455e-224
126,CTSA,Secretory,1.0600803,1.1639492777476537e-60
127,CTSH,Secretory,1.1110773,1.603384324489107e-47
128,CXCL8,Secretory,1.4036961,1.78602385113161e-64
129,CYCS,Secretory,1.1709409,4.4047610560540955e-31
130,CYP2F1,Secretory,-1.8538119,2.909765599182307e-75
131,CYP4B1,Secretory,-1.2670949,7.710959886528911e-58
132,DHRS7,Secretory,1.0542612,2.4232550221500417e-68
133,EIF1,Secretory,1.2194717,1.6253330913986016e-119
134,ENO1,Secretory,1.038737,7.845972111590153e-71
135,EPAS1,Secretory,-1.812,2.026656863468019e-165
136,FAM3C,Secretory,1.5684803,1.986405302999963e-150
137,FGFR3,Secretory,-1.0461409,1.2660560274030433e-59
138,FTH1,Secretory,1.0547147,9.178414971534285e-230
139,FTL,Secretory,1.2861342,8.448482553419025e-163
140,GADD45A,Secretory,1.185637,2.0901674811759737e-64
141,GDF15,Secretory,3.4359982,1.127359545708231e-248
142,GLUL,Secretory,-1.6358104,6.103712077000443e-226
143,GPNMB,Secretory,1.9659665,9.574872565199554e-66
144,GULP1,Secretory,1.2382991,2.5859563178610118e-61
145,HIF1A,Secretory,1.3109496,1.1464900743505572e-53
146,IFITM2,Secretory,-1.0396206,7.622162767404044e-59
147,IFITM3,Secretory,-1.0059968,1.3244708826426722e-89
148,KIAA1551,Secretory,1.1439581,4.885475098787196e-42
149,KRT15,Secretory,1.5622486,1.1190632594408038e-57
150,KRT4,Secretory,-2.1538596,4.397741421888358e-87
151,MMP7,Secretory,2.6267047,3.979184839801462e-229
152,MRPS6,Secretory,1.1438711,1.7128049092804403e-17
153,MSMB,Secretory,-2.4984717,5.131759744713732e-160
154,MT2A,Secretory,-1.1866782,1.6782645532235892e-49
155,MUC5B,Secretory,-1.7730134,9.151718549456029e-122
156,NEAT1,Secretory,1.0400844,4.656676157987825e-49
157,NEU1,Secretory,1.1559592,5.249962076822434e-73
158,NMB,Secretory,1.5155728,8.0347177663298e-50
159,NPC1,Secretory,1.3549131,1.592657399291762e-40
160,NPC2,Secretory,1.4481972,2.8960276676481236e-147
161,OLFM4,Secretory,-1.815514,0.0021681441065768076
162,PHLDA1,Secretory,1.6092427,2.6103746547643305e-93
163,PHLDA2,Secretory,1.2223454,1.7674950664084763e-85
164,PI3,Secretory,-2.0948353,1.8374345035686392e-60
165,PLAU,Secretory,2.6739473,7.007694956065375e-113
166,PLEKHS1,Secretory,-1.5159361,2.0336215660862132e-129
167,PRSS22,Secretory,1.2922161,1.1190632594408038e-57
168,RAB10,Secretory,1.0989138,1.347543828605621e-57
169,RAP2B,Secretory,1.3260407,6.059995072156255e-94
170,RDH10,Secretory,-1.5422976,4.3813516186749244e-162
171,S100A10,Secretory,1.0500821,5.759790753421059e-83
172,S100A9,Secretory,-1.1954111,8.675299965120957e-120
173,S100P,Secretory,-2.033096,1.0651464834386316e-182
174,SAA1,Secretory,-1.1936288,2.2972675165415495e-26
175,SCD,Secretory,1.1910694,5.439100469981459e-55
176,SCGB1A1,Secretory,-3.7155452,4.785130560362578e-29
177,SCGB3A1,Secretory,-2.3410048,3.8883284661660345e-153
178,SDCBP,Secretory,1.3463801,8.524197574783896e-81
179,SELENOP,Secretory,1.0345845,1.2142389567792803e-34
180,SERPINA3,Secretory,-1.1888783,4.495070987058088e-82
181,SERPINB3,Secretory,-2.5394273,2.7330703437157898e-288
182,SLC26A2,Secretory,-1.2218035,7.066655840855192e-46
183,SLC6A14,Secretory,-2.0001411,6.400690923873576e-159
184,SLPI,Secretory,-2.7783828,0.0
185,SQSTM1,Secretory,1.858849,1.5864474827170515e-228
186,STEAP4,Secretory,-1.6188557,6.630086538797476e-128
187,STRA6,Secretory,1.0480925,5.601995418270576e-59
188,TFF3,Secretory,-1.2543352,1.722901764126998e-06
189,TINAGL1,Secretory,1.1467156,7.881500061395041e-33
190,TM4SF1,Secretory,1.1307505,2.6787198677886013e-59
191,TMBIM1,Secretory,1.1582178,2.1554884769665356e-52
192,TMEM106B,Secretory,1.2292048,4.215468908537405e-77
193,TMEM37,Secretory,1.0771228,3.856651676708424e-51
194,TMPRSS4,Secretory,1.6222156,9.880988065590749e-144
195,TNFSF10,Secretory,-1.3483081,7.256282762208011e-112
196,TUBA1C,Secretory,1.0597372,1.2861089499496508e-64
197,UCA1,Secretory,1.4562299,5.64444324522503e-29
198,UPK1B,Secretory,-1.1719675,5.340058051444412e-48
199,VMO1,Secretory,-2.1028585,5.453427903529543e-143
200,VSTM2L,Secretory,-1.002052,4.290160732030902e-65
201,WFDC2,Secretory,-1.2359681,5.441581672513041e-274
202,WFDC21P,Secretory,-1.2067685,2.075730383744947e-58
203,XBP1,Secretory,-1.6386898,1.1474136611405648e-203
204,ZFP36L2,Secretory,1.3591139,4.404247111290395e-68
205,AC007906.2,Multiciliated,-1.1123438,7.3030873058811516e-40
206,ALDH1A1,Multiciliated,-1.4657934,3.733761867766921e-66
207,ALDH3B1,Multiciliated,-1.5459921,6.787252663582748e-64
208,ALOX15,Multiciliated,-1.3998117,1.279837799998122e-33
209,BPIFA1,Multiciliated,-1.1116405,0.00884353678475598
210,BPIFB1,Multiciliated,-1.0182633,0.00029793837627444984
211,CCL20,Multiciliated,1.7712659,1.7081160749370658e-12
212,CHST9,Multiciliated,-1.0555922,2.296956780482167e-23
213,CP,Multiciliated,-1.0498176,1.0158146499267346e-09
214,CYP24A1,Multiciliated,1.0496476,0.00034029021257557177
215,CYP4B1,Multiciliated,-1.9261312,7.586698540092567e-103
216,GADD45A,Multiciliated,1.0675381,1.0158146499267346e-09
217,GLUL,Multiciliated,-1.0655727,7.480544447666815e-48
218,GPNMB,Multiciliated,1.4491223,0.0018851789859256844
219,H19,Multiciliated,-1.222922,0.03386126650305697
220,HLA-DPA1,Multiciliated,1.0472506,4.369319308641444e-11
221,HLA-DQA1,Multiciliated,1.1802653,2.1807303471709756e-10
222,HLA-DRA,Multiciliated,1.3982143,7.340370510386439e-68
223,HLA-DRB1,Multiciliated,1.0269635,2.1528531947445017e-33
224,HSPA1A,Multiciliated,-1.1593451,2.3864065633886453e-23
225,IGFBP5,Multiciliated,-1.0980737,8.795420681494395e-15
226,KRT13,Multiciliated,1.7955832,7.762198220094021e-13
227,KRT23,Multiciliated,1.1444075,1.0949981657806596e-09
228,KRT4,Multiciliated,-1.4567461,3.009241715247785e-13
229,KRT5,Multiciliated,1.2660651,7.92281782770339e-05
230,KRT6A,Multiciliated,1.6256602,1.9796924472006806e-07
231,LCN2,Multiciliated,1.4861984,2.810934064757673e-88
232,MUC16,Multiciliated,-1.1004825,2.2267023187840142e-20
233,NCOA7,Multiciliated,1.1037966,2.457252902301952e-21
234,PSCA,Multiciliated,-1.0933161,1.2627477635066633e-17
235,RBP1,Multiciliated,1.0739076,2.0045098858522608e-07
236,SAA1,Multiciliated,2.2950416,8.404922989915024e-93
