,Genes,Cell type,Log2FC,FDR
0,A2ML1,Basal,1.2324449,2.197415011062317e-31
1,ACKR3,Basal,-1.0706438,2.114630977567529e-143
2,ADIRF,Basal,1.7781608,1.4543492461392786e-131
3,ALDH3A1,Basal,-1.187663,9.670402479613977e-71
4,ANXA1,Basal,1.141444,7.566968426042297e-85
5,AQP3,Basal,-1.0815263,3.9252562263014236e-134
6,CEACAM6,Basal,1.7022052,2.196250936870461e-80
7,CLU,Basal,-1.1029694,2.9837296776719502e-62
8,CSTB,Basal,1.5128446,2.09666029331905e-124
9,DHRS9,Basal,1.5819964,1.3586842535908387e-201
10,GPNMB,Basal,-1.552793,2.001260362281857e-114
11,GSN,Basal,1.6604435,5.3666230806414e-216
12,IGFBP3,Basal,-1.0600238,1.987123450243348e-188
13,KRT4,Basal,1.0003917,5.4295935789016825e-06
14,KRT6A,Basal,1.2212467,3.654148680301808e-19
15,KRT7,Basal,1.2591494,7.315415143816323e-64
16,LCN2,Basal,1.982902,5.7730173072723686e-126
17,LOXL4,Basal,-1.1060576,1.3145008732059092e-66
18,LYPD3,Basal,1.1058662,1.3882840919461295e-23
19,MALL,Basal,1.0845913,5.3990762018848614e-58
20,MT1X,Basal,-1.0980281,4.960184818162241e-70
21,NCCRP1,Basal,1.0610428,2.758299109336423e-26
22,RPLP1,Basal,-1.0295095,2.637012918138814e-298
23,S100A14,Basal,1.4981477,6.3081155588864206e-118
24,S100A6,Basal,1.0901101,1.9557259522511997e-166
25,S100A8,Basal,1.1117702,8.39233217812072e-11
26,S100A9,Basal,1.3079355,1.6292515735093898e-91
27,S100P,Basal,1.6503047,4.1076915109455874e-89
28,SAA2,Basal,1.0339925,0.006466316961603578
29,SCGB3A1,Basal,-1.3460361,6.657672387548312e-16
30,SERPINB3,Basal,-1.0213559,1.1967016037321983e-33
31,SLC6A14,Basal,1.0677665,8.254697418899244e-44
32,SPRR1B,Basal,1.3735701,4.931922715799246e-58
33,SPRR3,Basal,1.9075019,9.721933564820164e-37
34,TM4SF1,Basal,1.5403298,1.3945154432304553e-83
35,TMPRSS4,Basal,1.2023532,9.519822463473269e-123
36,TTC19,Basal,-1.0161865,3.3599326877405375e-103
37,APOL1,Secretory,1.0372558,2.3218543964348034e-47
38,BPIFA1,Secretory,-1.0416899,1.6007456097910503e-123
39,BPIFB1,Secretory,-1.0094795,5.78161937256697e-116
40,CLU,Secretory,-1.5384107,3.733069409210117e-66
41,CTGF,Secretory,-1.0152048,8.961971806562892e-58
42,CYP2F1,Secretory,-1.7764257,1.7126371985827727e-106
43,DHRS9,Secretory,1.3187225,5.085664580598314e-153
44,FCGBP,Secretory,1.218878,5.909204944552943e-08
45,FTH1,Secretory,1.092967,4.017298563556762e-244
46,MT-ATP8,Secretory,1.0443835,3.22128407085145e-156
47,OLFM4,Secretory,-1.6128767,0.0004674893667657496
48,PSCA,Secretory,1.0083606,1.4370316518156656e-15
49,SCGB1A1,Secretory,-3.3711362,1.0213381194254828e-40
50,SCGB3A1,Secretory,-2.4758296,7.148109395211112e-261
51,SERPINA3,Secretory,-1.181335,2.955027855544384e-107
52,SLPI,Secretory,-1.0509186,2.0893499384265623e-185
53,TMPRSS4,Secretory,1.2431265,1.6204872536102668e-118
54,VMO1,Secretory,-1.4738743,1.0514315801559797e-142
55,CXCL1,Multiciliated,1.2201911,0.0005325477158272696
56,CXCL8,Multiciliated,1.335752,6.440048672844337e-07
57,CYP24A1,Multiciliated,1.5012081,1.7148737002428723e-12
58,LCN2,Multiciliated,1.453639,1.1054234788623746e-55
59,NCOA7,Multiciliated,1.3586475,2.6989834469816052e-37
60,SAA1,Multiciliated,1.2846738,7.610280139918319e-19
61,SAA2,Multiciliated,1.2996225,7.610280139918319e-19
62,SCGB3A1,Multiciliated,-1.5370278,1.5706514964630315e-07
63,TNFAIP3,Multiciliated,1.2619351,1.784856401987613e-16
