,Genes,Cell type,Log2FC,FDR
0,ADIRF,Basal,1.1432686,2.5249504123581057e-116
1,APOL1,Basal,-1.0688943,3.411512173700302e-110
2,BPIFA1,Basal,-1.3310168,4.7429926474659935e-52
3,CLU,Basal,-1.4048359,6.643910841688641e-97
4,IGFBP3,Basal,-1.7838016,0.0
5,MTRNR2L8,Basal,-1.9232527,2.5682675855042513e-32
6,SERPINA3,Basal,-1.0407407,5.371179089564618e-20
7,WFDC2,Basal,-1.511159,3.624106726846435e-74
8,APOL1,Secretory,-1.1942158,1.620801020617589e-33
9,CLU,Secretory,-1.2017313,3.9037275125265118e-28
10,MTRNR2L8,Secretory,-1.6919656,2.178546897689166e-40
11,SCGB1A1,Secretory,-1.9383159,1.7150458605955546e-05
12,SCGB3A1,Secretory,-1.2497625,9.50878691258074e-32
13,WFDC2,Secretory,-1.2574043,3.613180151785736e-282
14,BPIFA1,Multiciliated,-1.4591365,3.7548108162608185e-08
15,BPIFB1,Multiciliated,-1.0354769,4.030951994359099e-05
16,MTRNR2L8,Multiciliated,-1.7867215,7.949766867505015e-61
17,SCGB3A1,Multiciliated,-2.142505,3.9258931536116773e-14
18,SERPINA3,Multiciliated,-1.5035746,8.449283078814323e-05
19,WFDC2,Multiciliated,-1.094667,7.949766867505015e-61
