,Genes,Cell type,Log2FC,FDR
0,AD000090.1,Basal,1.1207454,1.3349310920924215e-34
1,AHNAK,Basal,-1.0535192,6.714804077470952e-287
2,APOL6,Basal,1.2289581,1.7094614969917683e-78
3,B2M,Basal,2.6959584,0.0
4,BIRC3,Basal,1.4595181,9.701220468628186e-116
5,BPIFA1,Basal,2.0553968,6.275114534109171e-57
6,BPIFB1,Basal,1.2119602,1.2257305932996808e-25
7,BST2,Basal,2.4005368,0.0
8,C3,Basal,1.2651392,4.662732309539899e-178
9,CAPS,Basal,1.0181727,5.0739102968955475e-06
10,CD74,Basal,2.2954822,0.0
11,CD9,Basal,-1.1064119,1.955399888337119e-295
12,CDKN1A,Basal,1.7109258,5.18327046893512e-234
13,CEACAM6,Basal,1.9646189,1.357036292948254e-132
14,CFB,Basal,1.688175,1.221815131638953e-78
15,CMPK2,Basal,2.3895447,0.0
16,CTSS,Basal,1.0319865,6.3339497887300485e-49
17,CXCL17,Basal,1.7506038,6.47888966021062e-232
18,DDX58,Basal,1.0645521,1.1052223300760552e-60
19,DDX60,Basal,1.3220146,2.1279651772805486e-94
20,DNAJA1,Basal,1.0681703,5.0071359596996485e-76
21,DUOX2,Basal,2.155002,1.26974366972092e-211
22,DUOXA2,Basal,1.0540807,6.350630079272258e-36
23,EEF1A1,Basal,-1.7593589,0.0
24,EEF1B2,Basal,-1.2203947,0.0
25,EIF2AK2,Basal,1.5982819,2.758020767238811e-189
26,EIF3E,Basal,-1.1672426,2.125279298233326e-242
27,EIF3L,Basal,-1.2486825,1.0021341104980774e-303
28,EPSTI1,Basal,1.8362074,2.8743481230569177e-202
29,GAS5,Basal,-1.4760555,0.0
30,GBP1,Basal,1.4045221,2.2580726200308896e-105
31,GBP4,Basal,1.0671368,1.511832130604171e-51
32,GDF15,Basal,1.4535363,2.5988581276250138e-82
33,GJB2,Basal,-1.0937954,5.762553943424532e-134
34,GLRX,Basal,1.1315466,8.22674296360418e-85
35,GMPR,Basal,1.0932728,1.4505492532557735e-47
36,HELZ2,Basal,1.8473798,9.764954052416314e-221
37,HERC6,Basal,1.5259877,1.294534160908925e-137
38,HIST1H2AC,Basal,1.1457196,2.399994456684716e-66
39,HIST1H2BD,Basal,1.2346425,2.4518501025066935e-78
40,HLA-A,Basal,2.8437676,0.0
41,HLA-B,Basal,4.1505423,0.0
42,HLA-C,Basal,3.440765,0.0
43,HLA-DRA,Basal,1.0831082,3.388259934900453e-52
44,HLA-DRB1,Basal,1.5060773,1.609714913378457e-123
45,HLA-E,Basal,2.1963043,0.0
46,HLA-F,Basal,2.2490687,2.1412765054132693e-306
47,HRASLS2,Basal,2.3659136,1.320227604092178e-267
48,IFI16,Basal,1.0788082,3.719703857237291e-68
49,IFI27,Basal,4.5172787,0.0
50,IFI35,Basal,1.212211,5.906568690730925e-80
51,IFI44,Basal,1.3778341,1.1909989822065268e-113
52,IFI44L,Basal,3.440206,0.0
53,IFI6,Basal,5.196938,0.0
54,IFIH1,Basal,1.3010249,2.618706104340372e-97
55,IFIT1,Basal,4.35255,0.0
56,IFIT2,Basal,3.5550423,0.0
57,IFIT3,Basal,4.231709,0.0
58,IFITM1,Basal,3.6740298,0.0
59,IFITM2,Basal,2.5859718,0.0
60,IFITM3,Basal,3.6393204,0.0
61,IGFBP7,Basal,1.3534961,4.0189899164746224e-61
62,IRF1,Basal,1.1090862,1.717161377002228e-52
63,IRF7,Basal,1.988484,2.13699668993723e-221
64,ISG15,Basal,3.9845881,0.0
65,ISG20,Basal,1.7567587,1.0833161405337576e-162
66,KRT13,Basal,-2.4754272,0.0
67,KRT14,Basal,-1.2269009,2.1502819092441776e-34
68,KRT15,Basal,-1.1870763,5.271108170247561e-134
69,KRT5,Basal,-1.4943535,0.0
70,KRT6A,Basal,-1.35446,1.305315937092967e-208
71,LAMP3,Basal,1.2090515,1.1187233330155e-89
72,LAP3,Basal,1.6490949,3.2494341559152113e-170
73,LCN2,Basal,3.0298572,0.0
74,LDLR,Basal,1.1325979,9.20964969404299e-79
75,LGALS3BP,Basal,2.2677093,0.0
76,LGALS9,Basal,1.5928032,7.603728038698112e-141
77,LINC01641,Basal,-1.324017,5.793665676734242e-210
78,LRRC75A-AS1,Basal,-1.4381192,0.0
79,LY6E,Basal,3.4003325,0.0
80,MDK,Basal,2.532699,0.0
81,MSMB,Basal,2.0430355,7.753586311410525e-98
82,MT-ATP6,Basal,-1.6586962,0.0
83,MT-ATP8,Basal,-1.3102431,0.0
84,MT-CO1,Basal,-1.2952275,0.0
85,MT-CO3,Basal,-1.8988705,0.0
86,MT-CYB,Basal,-1.5325007,0.0
87,MT-ND3,Basal,-1.3959599,0.0
88,MT-ND4,Basal,-1.1799121,0.0
89,MT1X,Basal,-1.1473898,4.481572525454226e-106
90,MT2A,Basal,1.173835,1.2318618600980383e-264
91,MUC1,Basal,1.4488921,1.0846411385539703e-168
92,MUC5B,Basal,1.7537197,1.8377369009348457e-40
93,MX1,Basal,3.8916974,0.0
94,MX2,Basal,2.757855,0.0
95,MYD88,Basal,1.0531862,1.1081373219906589e-61
96,NMI,Basal,1.1740667,1.7250354176723662e-67
97,NT5C3A,Basal,1.6280702,4.51108769274805e-156
98,NUPR1,Basal,1.7595061,3.9523018465084145e-166
99,OAS1,Basal,2.6191776,0.0
100,OAS2,Basal,2.720886,0.0
101,OAS3,Basal,2.6548986,0.0
102,OASL,Basal,1.3527266,6.95988511536012e-89
103,PABPC1,Basal,-1.5618927,0.0
104,PARP14,Basal,1.2168471,3.0308582627893153e-83
105,PARP9,Basal,2.2575824,0.0
106,PIGR,Basal,1.6094172,3.478562778868413e-55
107,PLSCR1,Basal,1.5315276,2.0329241154684393e-147
108,PML,Basal,1.1165528,2.446561343884654e-63
109,PRR15,Basal,1.0126914,3.3133773842364447e-28
110,PRSS23,Basal,2.12171,9.398723416678919e-269
111,PSME2,Basal,1.4753026,3.9199571351788566e-143
112,RACK1,Basal,-1.4211423,0.0
113,RARRES1,Basal,1.8693767,6.115672055235416e-75
114,RARRES3,Basal,2.0908487,1.2790500321972907e-300
115,RNF213,Basal,1.44155,1.149903956048801e-121
116,RPL10,Basal,-1.0731075,0.0
117,RPL10A,Basal,-1.6570816,0.0
118,RPL11,Basal,-1.2149894,0.0
119,RPL13,Basal,-1.2436466,0.0
120,RPL13A,Basal,-1.474122,0.0
121,RPL14,Basal,-1.0680709,0.0
122,RPL15,Basal,-1.3113916,0.0
123,RPL17,Basal,-1.36343,0.0
124,RPL18,Basal,-1.0117481,0.0
125,RPL22,Basal,-1.0884662,0.0
126,RPL23,Basal,-1.7874868,0.0
127,RPL23A,Basal,-1.1676261,0.0
128,RPL26,Basal,-1.3190942,0.0
129,RPL3,Basal,-1.5255239,0.0
130,RPL30,Basal,-1.0176334,0.0
131,RPL31,Basal,-1.5528545,0.0
132,RPL32,Basal,-1.2326689,0.0
133,RPL34,Basal,-1.3973322,0.0
134,RPL35A,Basal,-1.3091941,0.0
135,RPL36A,Basal,-1.2284033,0.0
136,RPL37,Basal,-1.3340464,0.0
137,RPL37A,Basal,-1.1557713,0.0
138,RPL4,Basal,-1.4391601,0.0
139,RPL5,Basal,-1.6369238,0.0
140,RPL6,Basal,-1.38972,0.0
141,RPL7,Basal,-1.7195368,0.0
142,RPL7A,Basal,-1.2597387,0.0
143,RPL8,Basal,-1.0697625,0.0
144,RPL9,Basal,-1.392839,0.0
145,RPLP0,Basal,-1.4750438,0.0
146,RPLP1,Basal,-1.5514326,0.0
147,RPLP2,Basal,-1.2808528,0.0
148,RPS10,Basal,-1.2174149,0.0
149,RPS11,Basal,-1.0255909,0.0
150,RPS12,Basal,-1.1794844,0.0
151,RPS13,Basal,-1.3729475,0.0
152,RPS14,Basal,-1.3567977,0.0
153,RPS15A,Basal,-1.3935628,0.0
154,RPS16,Basal,-1.4920981,0.0
155,RPS17,Basal,-1.1682591,0.0
156,RPS18,Basal,-1.1539998,0.0
157,RPS2,Basal,-1.7015381,0.0
158,RPS21,Basal,-1.7645521,0.0
159,RPS23,Basal,-1.6672447,0.0
160,RPS24,Basal,-1.236098,0.0
161,RPS25,Basal,-1.0583885,0.0
162,RPS27,Basal,-1.0476456,0.0
163,RPS27A,Basal,-1.1856456,0.0
164,RPS28,Basal,-1.186851,0.0
165,RPS3,Basal,-1.9100568,0.0
166,RPS3A,Basal,-1.8581347,0.0
167,RPS4X,Basal,-1.4647253,0.0
168,RPS6,Basal,-1.9214139,0.0
169,RPS7,Basal,-1.3576956,0.0
170,RPS8,Basal,-1.5631869,0.0
171,RSAD2,Basal,2.96626,0.0
172,RTP4,Basal,1.3736429,5.902975785440914e-98
173,S100A6,Basal,1.5899699,0.0
174,S100P,Basal,2.149353,3.300453233427312e-176
175,SAA1,Basal,1.2394507,5.2518129596409974e-43
176,SAMD9,Basal,1.5086088,7.484629039908723e-163
177,SAMD9L,Basal,1.7541772,5.085086769126462e-170
178,SAMHD1,Basal,1.5903579,4.9165449057396326e-148
179,SCGB3A1,Basal,1.2565668,6.015826517756228e-23
180,SERPING1,Basal,1.2027562,1.6373237519455407e-92
181,SHISA5,Basal,1.0291433,5.570488760657215e-65
182,SLC25A6,Basal,-1.2192303,1.2816599224375314e-299
183,SLPI,Basal,1.913064,0.0
184,SNHG5,Basal,-1.2450695,2.1544580942455434e-241
185,SP100,Basal,1.106622,2.3505020135300923e-62
186,SP110,Basal,1.2310635,2.122313968920062e-85
187,SPATS2L,Basal,1.0429226,2.207360093051296e-123
188,STAT1,Basal,2.6055846,0.0
189,STAT2,Basal,1.0157974,1.2404427049926273e-56
190,STEAP4,Basal,1.0610576,4.2766165509710844e-34
191,TAP1,Basal,1.5211612,3.0489017768132455e-146
192,TGM2,Basal,1.2846634,4.786124934866909e-62
193,TNFSF10,Basal,2.2982712,0.0
194,TNFSF13B,Basal,1.101085,1.4376925829501262e-58
195,TPPP3,Basal,1.5615486,6.543880854182943e-17
196,TPT1,Basal,-1.5727849,0.0
197,TRANK1,Basal,1.2315013,5.986129052843205e-77
198,TRIM22,Basal,2.1115131,0.0
199,TRIM38,Basal,1.1668549,9.578007063801048e-72
200,TSPAN1,Basal,1.1251011,8.631477591473182e-114
201,TTC19,Basal,-1.3383794,6.355796008912378e-227
202,TUBB4B,Basal,1.2821167,1.9584650908935414e-37
203,TXNIP,Basal,1.1858001,0.0
204,TYMP,Basal,1.3085811,6.514496851453928e-78
205,UBC,Basal,1.0469155,1.8414018020547387e-210
206,UBE2L6,Basal,2.255778,0.0
207,UNC93B1,Basal,1.3690822,3.274100440583746e-99
208,UPK1B,Basal,-1.0034732,2.2620256629278755e-114
209,USP18,Basal,1.7196715,3.8448583074957148e-168
210,VSTM2L,Basal,1.302753,7.956865670417414e-74
211,WARS,Basal,2.4236703,0.0
212,XAF1,Basal,2.181291,8.723859208016384e-291
213,XBP1,Basal,1.2606851,3.906528567716648e-46
214,ZNFX1,Basal,1.8477235,1.497443039338512e-259
215,APOL6,Secretory,1.1299052,7.134770232408148e-29
216,B2M,Secretory,1.8773103,3.728784319703522e-272
217,BST2,Secretory,2.0956564,5.933188102840966e-106
218,CCL20,Secretory,-1.398316,4.9227646309441076e-20
219,CD9,Secretory,-1.2479014,3.497926322395824e-93
220,CFB,Secretory,1.2254661,1.803928449281429e-30
