,Genes,Cell type,Log2FC,FDR
0,ACKR3,Basal,-1.4591036,2.459527907414501e-200
1,ACSL3,Basal,1.0980706,6.436482275055983e-232
2,ADIRF,Basal,1.2039087,1.5212229235239302e-94
3,ALDH1A3,Basal,1.8883916,4.177718921557385e-240
4,ALDH3A1,Basal,-1.8643534,3.5352830627879105e-136
5,ANXA1,Basal,1.8790607,0.0
6,ANXA3,Basal,1.5090114,6.578509242715083e-261
7,APOL6,Basal,2.055088,0.0
8,AQP3,Basal,-1.7394044,1.2653426846331583e-277
9,AREG,Basal,2.6384678,1.803967243301384e-300
10,ATP1B3,Basal,-1.2852823,3.352443338752575e-208
11,B2M,Basal,3.5173485,0.0
12,BAG1,Basal,-1.110226,4.412125656281998e-159
13,BATF2,Basal,1.6033783,0.0
14,BCAT1,Basal,1.0707031,2.0237946921767626e-154
15,BIRC3,Basal,1.9254409,2.912170994051607e-290
16,BPIFA1,Basal,-1.8070071,3.246966351198778e-83
17,BST2,Basal,1.1629312,1.0174763944998001e-237
18,C15orf48,Basal,2.530131,0.0
19,C1S,Basal,1.7311447,0.0
20,CA12,Basal,-1.3426145,1.6500663434919254e-95
21,CALM2,Basal,1.2049639,0.0
22,CBX4,Basal,1.008719,2.1985589162442214e-186
23,CD274,Basal,1.5707549,5.9705018299045964e-285
24,CD74,Basal,3.6527977,0.0
25,CDCP1,Basal,1.2119256,4.927941708450253e-244
26,CDH6,Basal,-1.0956146,1.4128443241224625e-56
27,CDKN1A,Basal,1.8978698,0.0
28,CDKN2A,Basal,1.4672799,4.7290405464581064e-297
29,CDKN2B,Basal,1.0953977,5.286807191561509e-157
30,CEACAM1,Basal,1.4040059,6.571782370911867e-245
31,CEACAM5,Basal,1.5750076,2.1119853980336885e-78
32,CEACAM6,Basal,3.180488,2.5291037262734987e-277
33,CHAC1,Basal,1.7432572,2.2506041885972217e-270
34,CLDN4,Basal,1.1140944,3.488139750345844e-85
35,CLDN7,Basal,1.4108531,0.0
36,CLU,Basal,-1.4522858,5.862997899274885e-63
37,CMPK2,Basal,1.6426591,0.0
38,CTSS,Basal,1.5393622,0.0
39,CX3CL1,Basal,1.3513005,7.94054000546704e-167
40,CXCL1,Basal,-1.5928848,1.35027319361565e-29
41,CXCL10,Basal,3.7496972,0.0
42,CXCL11,Basal,4.3356366,0.0
43,CXCL17,Basal,1.6718043,9.969358769688362e-250
44,CXCL9,Basal,3.9385798,0.0
45,DDX60,Basal,1.6944774,0.0
46,DHRS9,Basal,1.0845404,1.8313508720356832e-88
47,DUOX2,Basal,3.0822172,0.0
48,DUOXA2,Basal,1.3933697,2.118643312404826e-161
49,DUSP4,Basal,1.2467602,1.6609043364728746e-234
50,DUSP6,Basal,1.5224152,2.213978519034271e-206
51,EEF1A1,Basal,-1.2477231,0.0
52,EEF1B2,Basal,-1.1938568,1.0659217179631751e-263
53,EGR1,Basal,-1.3681566,4.219142821656151e-166
54,EIF2AK2,Basal,1.0382557,2.472664401821266e-220
55,EIF2S2,Basal,1.2424065,0.0
56,EIF3L,Basal,-1.1424628,5.297060659211059e-189
57,EIF4B,Basal,-1.0290645,2.0131269121067147e-211
58,EMP1,Basal,1.181825,2.987487488283655e-134
59,EPAS1,Basal,-1.8616314,4.6006131258668826e-204
60,EPSTI1,Basal,1.6380768,0.0
61,F3,Basal,1.9130223,0.0
62,FABP5,Basal,-2.1299076,2.6247896756096453e-213
63,FBLN1,Basal,-1.3285615,6.633421571094143e-153
64,FGFR3,Basal,-1.4924157,4.537969028993585e-204
65,FOS,Basal,-1.6057019,3.26610878524797e-160
66,G0S2,Basal,2.0447598,9.164422752322964e-119
67,GARS,Basal,1.6139504,5.873619878870382e-279
68,GAS1,Basal,-1.0834022,3.583687027646283e-59
69,GBP1,Basal,3.1062772,0.0
70,GBP2,Basal,1.1651624,2.0946620658818654e-228
71,GBP4,Basal,2.0417252,0.0
72,GBP5,Basal,3.3666306,0.0
73,GDF15,Basal,2.09204,0.0
74,GLRX,Basal,1.3576888,4.8208713824956914e-235
75,GOLM1,Basal,1.1136501,6.979057995586198e-203
76,GPNMB,Basal,-1.7412877,1.7776663570269068e-123
77,GPRC5A,Basal,1.4165037,1.6373222116981228e-252
