,Genes,Cell type,Log2FC,FDR
0,ACKR3,Basal,-1.1185474,6.130510035697682e-104
1,AD000090.1,Basal,1.3671727,5.358597127007825e-52
2,AL121761.2,Basal,1.9801142,4.886600325670868e-109
3,ALDH1A1,Basal,1.0076545,4.144546118288844e-11
4,ALDH1A3,Basal,1.679732,1.6508315983592465e-94
5,ALOX15,Basal,4.3158717,0.0
6,ANO1,Basal,1.3475914,4.2280322177285e-92
7,ANXA1,Basal,1.5413074,2.8342914170976076e-180
8,ATP1B1,Basal,1.2671402,1.4229641121381936e-90
9,BPGM,Basal,1.1030537,1.1920883914282571e-24
10,BPIFA1,Basal,-2.1149983,5.571053269581265e-56
11,C15orf48,Basal,1.00072,5.605391448780187e-31
12,CAPN14,Basal,3.163443,1.296543529920206e-186
13,CCDC80,Basal,-1.1539272,4.548225375721049e-70
14,CCL26,Basal,3.0072,1.1795993008057868e-194
15,CD55,Basal,1.2335218,4.704108596231901e-55
16,CD9,Basal,1.5243559,6.153350535085478e-155
17,CDH26,Basal,2.0052977,5.706596991751224e-188
18,CFB,Basal,1.5647308,1.0592737635556257e-53
19,CLU,Basal,-1.6651961,3.3640347528960907e-81
20,CP,Basal,-1.1512889,4.5093809922669135e-43
21,CSTA,Basal,1.204129,9.167426499378425e-57
22,CSTB,Basal,1.763475,1.7668941515194666e-230
23,CTSC,Basal,2.2708316,4.2022612005599347e-297
24,CXCL1,Basal,2.1889834,7.076436674217052e-95
25,CXCL6,Basal,1.8191618,1.9423333331078574e-29
26,CYP4V2,Basal,2.4812443,5.829074627554779e-81
27,DDIT4,Basal,-1.0355179,8.268003486482502e-99
28,DDX60,Basal,1.0203054,1.3734839220132955e-14
29,DUOX1,Basal,1.5208263,2.690340057849707e-154
30,DUOX2,Basal,2.1007636,5.475033597872225e-94
31,DUOXA1,Basal,1.016437,2.667647303492704e-63
32,EEF1A1,Basal,-1.0905747,0.0
33,EIF3E,Basal,-1.0524937,1.1048358293284446e-101
34,EPAS1,Basal,-1.9534028,1.0543076727362665e-163
35,FABP5,Basal,-1.3665538,6.43901102158682e-125
36,FAM83A,Basal,-1.4978493,3.9718815250476466e-153
37,FOS,Basal,-1.1835058,1.1886562516262752e-87
38,GAS5,Basal,-1.0450954,1.132008471724966e-130
39,GLUL,Basal,-1.0786047,7.126916159900161e-143
40,HS3ST1,Basal,1.1029234,5.704620426600508e-66
41,ID3,Basal,1.0246382,1.3476860234808875e-83
42,IGFBP3,Basal,-2.9771175,0.0
43,IGFBP6,Basal,-1.6072154,2.6369749479722063e-74
44,IL19,Basal,1.0643919,2.209870644543984e-09
45,IL32,Basal,1.0075337,8.913171608544634e-30
46,ITGB1,Basal,-1.1530168,9.08698397127339e-95
47,KRT13,Basal,-1.3069358,1.3892507294720815e-104
48,KRT15,Basal,-2.4147644,1.4200267256025388e-201
49,KRT16,Basal,2.1886663,9.106027336349979e-115
50,KRT4,Basal,1.9906535,1.659957124784032e-25
51,KRT6A,Basal,1.2318358,6.499806738318536e-127
52,LBH,Basal,1.063312,7.198457903552478e-51
53,LCN2,Basal,2.328292,7.008854438626702e-184
54,LGALS3,Basal,1.2509816,1.1856974390234016e-113
55,LOXL4,Basal,1.2043445,3.690992431320624e-27
56,LY6D,Basal,1.3161894,1.0958720642688015e-31
57,MMP7,Basal,1.9928584,1.2209504444027649e-13
58,MSMB,Basal,1.0764107,3.5636412755966564e-12
59,MT1X,Basal,-1.4777112,4.107918010625148e-80
60,MT2A,Basal,-1.9121923,8.930774038935939e-145
61,NDRG1,Basal,-2.0648959,8.362685358413293e-264
62,NOS2,Basal,1.3946803,4.7410633898397085e-24
63,PABPC1,Basal,-1.0346298,3.646002124894365e-243
64,PDZK1IP1,Basal,2.6586115,4.275330413082074e-226
65,PI3,Basal,2.859196,2.1565814757435615e-71
66,PIGR,Basal,2.2298596,1.8068883895184518e-54
67,PIP,Basal,2.0781069,8.351470762244804e-17
68,PLAT,Basal,-1.230052,1.3607950831581187e-28
69,PLS1,Basal,1.0679629,9.271928765123511e-51
70,POSTN,Basal,2.0225577,3.484562264554108e-13
71,RPL23,Basal,-1.1386335,6.21640744475886e-278
72,RPL26,Basal,-1.1003315,7.874960277756824e-240
73,RPL29,Basal,-1.0503988,1.8573773477496332e-196
74,RPL31,Basal,-1.2829604,3.7594433671641548e-233
75,RPL34,Basal,-1.2493083,5.679472192515314e-225
76,RPL36A,Basal,-1.0142267,2.3658752285625674e-194
77,RPL37,Basal,-1.0116377,8.0138760389978e-201
78,RPS14,Basal,-1.0427556,1.512112151383052e-224
79,RPS15A,Basal,-1.0657454,2.544757768380843e-229
80,RPS2,Basal,-1.0568876,5.486058790177297e-207
81,RPS21,Basal,-1.002197,9.722373531133989e-174
82,RPS3,Basal,-1.0629113,5.323902892813166e-212
83,RPS3A,Basal,-1.3272996,1.910132822835792e-288
84,RPS4X,Basal,-1.1177049,9.920406136080207e-225
85,RPS6,Basal,-1.246964,3.1397109049345042e-235
86,S100A8,Basal,1.4672725,3.2982979256512146e-19
87,S100P,Basal,1.3095618,6.149528114838497e-76
88,SAA1,Basal,2.6607845,2.259098273028166e-120
89,SAA2,Basal,2.3310215,1.2400870505877016e-96
90,SCGB3A1,Basal,-1.5091773,1.0709555248710655e-14
91,SERPINB2,Basal,2.0330358,2.6517082364559416e-164
92,SERPINB3,Basal,1.8431587,4.769958149525805e-219
93,SERPINB4,Basal,3.1421742,0.0
94,SERPINB6,Basal,1.1732962,2.1198007582275913e-80
95,SHE,Basal,1.3415118,2.4478071849154577e-40
96,SLC26A4,Basal,3.598128,9.986504199761734e-141
97,SLC2A1,Basal,-1.1710755,2.7848467263516813e-118
98,SLC6A14,Basal,1.7067901,3.619422226939095e-107
99,SLPI,Basal,1.2548399,3.6088696459227414e-129
100,SPINK5,Basal,1.3847611,5.87422971108536e-39
101,SPRR3,Basal,1.9885836,2.116050256765192e-39
102,TIMP3,Basal,-1.2602096,7.216732074874938e-80
103,TMEM123,Basal,-1.1060733,4.070875468698447e-113
104,TMPRSS2,Basal,1.2059207,7.31684686034539e-46
105,TNFSF10,Basal,1.0219951,4.21072648638106e-76
106,TTC19,Basal,-1.2772038,2.4156208633373532e-108
107,TXN,Basal,1.158586,7.2725942539953104e-118
108,UBB,Basal,1.0490408,3.4818812886035027e-162
109,WARS,Basal,1.2262537,1.107397033088212e-35
110,WFDC21P,Basal,2.8040228,4.902698091991263e-259
111,AD000090.1,Secretory,1.2459139,8.546598717487551e-39
112,ADRA2A,Secretory,1.5075365,1.1411797755025181e-23
113,AL121761.2,Secretory,2.7639594,3.423763617279193e-198
114,ALDH1A3,Secretory,1.2672863,1.0439970432938057e-48
115,ALOX15,Secretory,4.499563,0.0
116,ANXA1,Secretory,1.7790155,5.273307632200094e-183
117,ANXA3,Secretory,1.0468903,5.230760276582628e-38
118,AQP5,Secretory,-1.0473951,2.887230436302657e-28
119,B3GNT6,Secretory,1.5788753,4.264107179056165e-78
120,BPIFA1,Secretory,-4.133967,2.069355619793965e-276
121,BTG2,Secretory,-1.0581789,7.031575919408955e-42
122,C3,Secretory,-1.9022515,1.7335172977741607e-229
123,CAMK1,Secretory,1.3473264,4.917516381585037e-40
124,CAPN14,Secretory,2.4409747,5.188700585154635e-74
125,CCL26,Secretory,2.3102837,1.8303113311481167e-81
126,CD24,Secretory,1.4394627,7.038462222603413e-164
127,CD44,Secretory,1.0385923,8.334102371246273e-39
128,CD55,Secretory,1.4562742,3.8081532978955716e-90
129,CD74,Secretory,-1.2137189,2.1890340862181044e-136
130,CD9,Secretory,1.9925611,1.4014945304616162e-287
131,CDC42EP5,Secretory,1.3013837,1.719787781220699e-73
132,CDH26,Secretory,2.2103548,5.700180831277019e-203
133,CDH6,Secretory,1.0306444,2.9799997941723864e-21
134,CEACAM5,Secretory,1.9359847,2.4505826371551806e-91
135,CLU,Secretory,-1.6465094,3.821453233252374e-47
136,COLCA1,Secretory,1.1006169,7.265001296155712e-28
137,CP,Secretory,-2.4253516,1.3840111171925896e-256
138,CREB3L1,Secretory,1.0961593,6.796785302839671e-52
139,CST1,Secretory,4.1844993,2.327100196009284e-158
140,CST4,Secretory,2.0142379,1.787130695883396e-50
141,CSTA,Secretory,2.4641762,7.525632660243628e-173
142,CTGF,Secretory,-1.6364038,1.1801112836546934e-64
143,CTSC,Secretory,2.0914435,1.1192201916883806e-288
144,CXCL5,Secretory,1.6422548,1.114864314342066e-06
