,Genes,Cell type,Log2FC,FDR
0,C15orf48,Basal,1.0474668,1.5572882645738272e-40
1,C3,Basal,1.1868671,5.591736761186877e-70
2,CCL20,Basal,1.4449034,8.849140967592804e-53
3,CXCL1,Basal,1.5144527,7.836230027988707e-45
4,DUOX2,Basal,2.0559042,1.0577643486044533e-82
5,FN1,Basal,2.0343904,1.867917672462403e-05
6,GPNMB,Basal,-1.0871112,1.7176617896404309e-50
7,HLA-DRA,Basal,1.0496931,1.945389220675883e-34
8,KRT13,Basal,-1.0705223,2.8449671195468657e-78
9,KRT4,Basal,-1.1489472,3.888784318746096e-14
10,LCN2,Basal,3.2087288,0.0
11,PDZK1IP1,Basal,1.78811,2.4202298247451816e-164
12,PI3,Basal,1.4182286,1.8891448875309208e-26
13,PLAT,Basal,1.2943891,1.001108329453713e-44
14,S100A8,Basal,2.2489183,6.930188818635174e-115
15,S100A9,Basal,1.5652258,1.80724864525595e-132
16,SAA1,Basal,2.1100671,9.437182392323566e-187
17,SAA2,Basal,1.9959689,1.4164239658393594e-105
18,SCGB3A1,Basal,-1.1456583,7.08952939777052e-11
19,SERPINB4,Basal,1.2663896,5.949947639675744e-22
20,SERPINE1,Basal,1.0764751,0.000282250130698565
21,SLC6A14,Basal,1.0839568,5.8281355072263106e-30
22,SPRR2A,Basal,1.686687,2.3564881616396514e-11
23,TAGLN,Basal,1.0796483,0.01850930164841195
24,ZC3H12A,Basal,1.3747835,1.385738142806541e-116
25,C15orf48,Secretory,1.3153949,8.910905561061297e-125
26,CCL20,Secretory,1.5531919,9.431961220977834e-253
27,CLU,Secretory,-1.7033391,1.529450671670483e-91
28,CSF3,Secretory,1.844106,1.672445767175811e-166
29,CXCL1,Secretory,1.5076389,4.901118990594847e-274
30,CXCL5,Secretory,1.9483048,2.0508298824463e-67
31,CXCL6,Secretory,1.9752108,1.7555482041141137e-141
32,CYP2F1,Secretory,-1.6632137,2.6030091568669437e-110
33,CYP4B1,Secretory,-1.1067908,1.0577439547886302e-87
34,DUOX2,Secretory,1.9952654,1.1173547579130136e-128
35,FAM3D,Secretory,1.199924,3.656885604156201e-96
36,FCGBP,Secretory,3.8301907,0.0
37,KLK10,Secretory,1.0087773,7.863031242937251e-40
38,KRT13,Secretory,-1.0153084,3.079871596405558e-14
39,LCN2,Secretory,1.4748673,0.0
40,LTF,Secretory,1.4901897,3.476298851643204e-11
41,PDZK1IP1,Secretory,1.6170039,3.889220871952448e-302
42,PI3,Secretory,2.2332304,0.0
43,PP7080,Secretory,1.2910756,5.717877501855353e-71
44,SAA1,Secretory,1.3043718,6.371156649696323e-237
45,SAA2,Secretory,1.472295,7.083148674218503e-254
46,SCGB1A1,Secretory,-1.5964916,1.1202955488212197e-06
47,SCGB3A1,Secretory,-2.1835837,1.3046642426148958e-220
48,SERPINB4,Secretory,2.008926,1.5282891490023564e-246
49,SLC26A4,Secretory,3.605858,0.0
50,SLC6A14,Secretory,1.152169,2.0163988910157243e-203
51,ZC3H12A,Secretory,1.0530683,4.652966744394734e-133
52,ALDH1A1,Multiciliated,-1.005013,6.059762220741086e-35
53,ALDH3A1,Multiciliated,-1.5605726,1.3637062581537818e-73
54,CCL20,Multiciliated,1.5652424,4.002117343033586e-05
55,CLU,Multiciliated,-1.2767217,1.8488581928914704e-47
56,CXCL1,Multiciliated,1.5939263,0.004805953093274308
57,DUOX2,Multiciliated,1.9613343,1.5917982375293135e-24
58,H19,Multiciliated,-1.0015388,0.04335428337717675
59,KRT4,Multiciliated,-1.1277814,1.2192426752343315e-08
60,LCN2,Multiciliated,2.6254792,1.1997848932174627e-188
61,PDZK1IP1,Multiciliated,1.0256956,0.00010591904858195633
62,SAA1,Multiciliated,2.4978976,3.6699887790094027e-118
63,SAA2,Multiciliated,2.4920433,9.257686995855765e-108
64,SAA4,Multiciliated,2.292439,1.7010096136193823e-60
65,SCGB3A1,Multiciliated,-2.4181619,2.1310965242764648e-16
66,SLC26A4,Multiciliated,1.4918464,2.1370023345129515e-06
67,SOD2,Multiciliated,1.0191911,2.651424307111433e-13
68,ZC3H12A,Multiciliated,1.1394017,4.6172510051495056e-07
69,LCN2,Rare,3.398785,0.020699020422487033
