,Genes,Cell type,Log2FC,FDR
0,ALDH1A3,Basal,1.1183399,7.18283698230524e-07
1,ATF3,Basal,1.3776674,1.094488503149697e-64
2,C3,Basal,1.0765682,2.6505330046856523e-19
3,DUSP5,Basal,1.3270793,5.19141907775734e-49
4,EIF3E,Basal,-1.0245565,6.30276094857122e-91
5,ERRFI1,Basal,1.1261289,1.0435120581116269e-30
6,F3,Basal,1.239701,7.742859880303698e-64
7,FN1,Basal,2.5626543,1.6241934785618545e-08
8,GADD45A,Basal,1.2959545,6.818369881100165e-73
9,KLF6,Basal,1.3548238,1.1916470613834033e-104
10,LAMC2,Basal,1.3348422,9.540477413497205e-15
11,LCN2,Basal,1.2370217,2.6150349280568278e-23
12,LGALS1,Basal,1.0759453,7.210435875434625e-10
13,LINC01641,Basal,-1.3654771,2.242459864707024e-103
14,LY6D,Basal,1.3470787,5.262723845850722e-28
15,MT-ATP8,Basal,-1.2878728,2.1030921773836923e-236
16,MT1X,Basal,-1.3940345,5.832389066108339e-63
17,MTRNR2L8,Basal,1.2287352,1.0554275828616325e-140
18,NCOA7,Basal,1.3875144,2.0559002852483697e-62
19,PLAU,Basal,1.3543127,2.2422516616444895e-40
20,PMEPA1,Basal,1.0810349,7.620826682765367e-10
21,PPP1R15A,Basal,1.350495,6.151490284690971e-61
22,PTGS2,Basal,1.1650655,8.145902128233676e-23
23,RAB11FIP1,Basal,1.0745902,5.161684158858024e-13
24,RPL31,Basal,-1.2386537,3.1234975633172294e-193
25,RPL34,Basal,-1.2292409,2.482535814314398e-188
26,RPS13,Basal,-1.3032416,1.025818624646807e-157
27,RPS4Y1,Basal,1.320448,1.518274123072923e-68
28,S100A2,Basal,1.0809569,1.3018327733476308e-54
29,SCGB3A1,Basal,1.501523,2.537645519671793e-10
30,SERPINE1,Basal,1.4819388,2.4553266184318753e-11
31,SOCS3,Basal,1.047755,2.5528986516816355e-24
32,TAGLN,Basal,1.1142591,2.586651281242836e-05
33,THBS1,Basal,1.0865014,1.1189647759125031e-10
34,TTC19,Basal,-2.50778,1.1432250022649494e-206
35,XIST,Basal,-1.2908667,3.765907334834676e-61
36,ZFP36,Basal,1.0567081,1.4167368488563457e-43
37,ATF3,Secretory,1.4704523,2.5244640731093492e-104
38,BTG2,Secretory,1.2038258,2.182144569394528e-61
39,CCL20,Secretory,-1.0149317,1.0225518105828232e-20
40,DUSP5,Secretory,1.5683291,2.5244640731093492e-104
41,EGR2,Secretory,1.1672226,3.0130951715032935e-34
42,EGR3,Secretory,1.0319031,5.344360607168716e-18
43,ERRFI1,Secretory,1.1208162,2.765906316647624e-34
44,F3,Secretory,1.065845,4.831223913255972e-76
45,HES1,Secretory,1.1463056,1.5112573249416604e-72
46,MAFF,Secretory,1.131064,1.0489269710802753e-61
47,MSMB,Secretory,-1.0825,3.892226802288083e-71
48,OLFM4,Secretory,-1.035131,0.008211918429926393
49,PI3,Secretory,-1.3848054,5.560331488369735e-29
50,PPP1R15A,Secretory,1.2636395,1.0871708418269816e-73
51,S100A2,Secretory,1.3360218,1.4343228719957626e-18
52,SAA1,Secretory,-1.3511423,1.625765976747465e-51
53,SERPINA3,Secretory,-1.1964548,9.763574767827365e-89
54,TTC19,Secretory,-1.1132596,4.91859866849753e-58
55,XIST,Secretory,-1.2833898,1.5986373663034113e-42
56,ZFP36,Secretory,1.1053259,1.0659354157839175e-112
57,MUC5B,Multiciliated,-1.0545722,0.004970160487727175
58,S100A2,Multiciliated,1.7055503,1.2988368904129297e-07
59,ATF3,Rare,1.3714645,0.016113734788144804
60,BTG2,Rare,1.4382117,0.016113734788144804
61,EGR1,Rare,1.6267428,5.156878487517642e-09
62,FOS,Rare,1.4190769,0.0003232240754371939
63,MT-ATP8,Rare,-1.0536141,5.156878487517642e-09
64,RPS13,Rare,-1.1260895,0.008050603530850275
65,TTC19,Rare,-1.9366833,7.803066874296011e-05
66,ZFP36,Rare,1.4691286,0.012547630900586262
