,Genes,Cell type,Log2FC,FDR
0,ALDH3A1,Basal,-1.411532,3.480837459263885e-46
1,C1S,Basal,1.1741993,5.695994331162939e-60
2,CDH3,Basal,1.0081842,4.525616026910506e-109
3,CDH6,Basal,-1.0233597,2.380138681383369e-31
4,CLCA2,Basal,1.0327029,1.788231480356003e-52
5,CLU,Basal,-1.4301672,1.332142036225918e-50
6,CSTB,Basal,1.0305672,1.5784087671348475e-41
7,CTSB,Basal,1.0317113,7.9608222025873705e-143
8,CXCL1,Basal,1.4543664,3.0913663116752947e-46
9,DHRS3,Basal,-1.2698635,3.6118425703521024e-122
10,DUOX2,Basal,1.2686241,1.984351781551137e-18
11,F3,Basal,1.2759507,1.112636671135197e-31
12,FBLN1,Basal,-1.1228408,7.126160329511853e-74
13,G0S2,Basal,1.0534607,2.4378748574816637e-06
14,GJB2,Basal,1.9343433,7.087191040778995e-140
15,IFITM2,Basal,1.2159402,1.711920192740218e-90
16,IFITM3,Basal,1.1411774,4.700710969218607e-109
17,IGFBP3,Basal,-1.28339,7.24564872359578e-135
18,IGFBP7,Basal,1.1751204,1.2370404392371746e-77
19,IL33,Basal,1.1123286,1.2109358344499574e-47
20,KRT13,Basal,-1.0458536,5.0377527337230836e-54
21,KRT14,Basal,1.5307112,1.7999803186579195e-77
22,KRT16,Basal,1.3433995,6.361163770771384e-53
23,KRT17,Basal,1.3650272,2.8514732071519308e-136
24,KRT4,Basal,-1.9654086,1.2240641362584701e-17
25,KRT6A,Basal,1.6561961,3.0216342202944184e-259
26,KRT6B,Basal,1.5847285,4.500042719164606e-39
27,LAMA3,Basal,1.5083361,1.2716394729568468e-48
28,LAMC2,Basal,1.7037022,1.0064352196244633e-80
29,LOXL4,Basal,-1.1615368,1.6223016351034808e-41
30,MALAT1,Basal,1.1603184,1.3730944132093156e-103
31,MMP10,Basal,1.2548013,1.134796054254001e-06
32,MMP7,Basal,1.059598,1.5817290861280724e-50
33,MSMB,Basal,1.2450695,3.1146736567454615e-10
34,MTRNR2L8,Basal,-2.9293878,2.0335424172347922e-29
35,PDZK1IP1,Basal,1.1435223,1.2111254177879525e-55
36,PI3,Basal,1.8801708,1.3498492070841465e-16
37,PRSS23,Basal,1.25843,8.72791554007102e-103
38,RPS26,Basal,-1.3551161,1.6621496474289083e-77
39,RPS4Y1,Basal,-1.1339527,6.943619989942459e-31
40,S100A8,Basal,2.8396723,5.116957542038207e-220
41,S100A9,Basal,1.5257661,3.9693686369426025e-138
