,Genes,Cell type,Log2FC,FDR
0,ACTB,Basal,1.5421281,0.0
1,ACTN1,Basal,2.038073,0.0
2,ADAM19,Basal,1.9649993,0.0
3,ADGRF1,Basal,-1.2049389,1.1009874452135156e-206
4,AGR2,Basal,-1.5694139,9.710770491303894e-266
5,ALDH1A1,Basal,-1.2184783,8.701948163186987e-136
6,ALDH1A3,Basal,2.360373,1.1248140486352657e-261
7,ALDH3A1,Basal,-2.6180594,0.0
8,AMIGO2,Basal,1.0353353,2.301915537739304e-99
9,AMTN,Basal,3.1919217,0.0
10,APOE,Basal,1.6217555,3.627536652488045e-126
11,APOL1,Basal,-1.5880979,3.3025585453335027e-230
12,AQP3,Basal,-2.3395593,0.0
13,ARL4C,Basal,1.2991685,1.979991628599427e-149
14,ASS1,Basal,-1.49159,0.0
15,BAG1,Basal,-1.0829304,1.6558219259943284e-263
16,BMP1,Basal,1.3351189,4.623000738325675e-260
17,BPIFA1,Basal,-1.9072117,4.874548101467064e-161
18,C15orf48,Basal,1.8647497,5.523397743099009e-273
19,CALD1,Basal,2.0769746,0.0
20,CALR,Basal,1.4300368,0.0
21,CALU,Basal,1.1068594,2.1563908307849787e-165
22,CAV1,Basal,-1.0278811,1.1718100314938667e-96
23,CCL2,Basal,2.3315127,4.1224404657233664e-110
24,CD151,Basal,1.3465902,0.0
25,CD59,Basal,1.0436006,0.0
26,CD74,Basal,-1.2751548,5.269815949587808e-186
27,CDH6,Basal,1.5974145,2.444257340537324e-280
28,CDKN1A,Basal,2.0359066,0.0
29,CDKN2A,Basal,1.7873054,0.0
30,CDKN2B,Basal,2.461926,0.0
31,CEBPD,Basal,-1.2153621,1.293121631092185e-303
32,CITED4,Basal,1.2324159,4.4965242303904433e-147
33,CKAP4,Basal,1.1995081,7.46877290704156e-301
34,CLINT1,Basal,-1.0064919,1.9023428112537953e-177
35,CLTB,Basal,1.4958776,0.0
36,CLU,Basal,-1.943781,8.90136133030536e-251
37,CMTM3,Basal,1.1197064,4.149374541982741e-137
38,CNTNAP2,Basal,1.6899498,6.003240209871966e-165
39,COL1A1,Basal,4.773748,0.0
40,COL1A2,Basal,1.0477828,6.615537098386928e-66
41,COL22A1,Basal,1.2531264,1.6594766484306116e-164
42,COL4A1,Basal,1.6395787,9.216121886690753e-208
43,COL4A2,Basal,2.1439793,0.0
44,COL5A2,Basal,1.0979342,5.2849560793398446e-105
45,COMP,Basal,1.1922439,1.0910474573127306e-52
46,CP,Basal,-1.2339358,3.803501408274737e-107
47,CSF2,Basal,1.0297885,1.467691205125491e-22
48,CST6,Basal,1.4465206,9.667765593827907e-137
49,CSTA,Basal,-2.5106137,0.0
50,CTNNB1,Basal,1.1273284,1.1859638375900077e-198
51,CXCL14,Basal,3.172005,0.0
52,CXCL17,Basal,-1.6254478,1.2594147371953354e-245
53,DDIT4,Basal,-1.0147136,3.705704197644518e-229
54,DHRS9,Basal,-1.8937317,8.255268406780901e-265
55,DKK3,Basal,1.435952,5.799389853215436e-186
56,DSC2,Basal,2.0167696,0.0
57,DSP,Basal,1.4810514,0.0
58,EEF1A1,Basal,-2.1901045,0.0
59,EEF1B2,Basal,-1.0190771,0.0
60,EIF3E,Basal,-1.4908919,0.0
61,EIF3L,Basal,-1.0086179,7.464729864289899e-262
62,EIF4B,Basal,-1.145989,0.0
63,ENAH,Basal,1.7424972,0.0
64,ENC1,Basal,1.0042088,2.384066491516409e-83
65,ENDOD1,Basal,1.0471642,6.56802671419027e-126
66,EPAS1,Basal,-1.8486404,0.0
67,EPHB2,Basal,1.0168729,8.780193650700609e-136
68,F3,Basal,1.0205212,1.839340964312457e-77
69,FAM83A,Basal,-1.9906933,0.0
70,FBLIM1,Basal,1.2081374,4.92172442084009e-235
71,FGFBP1,Basal,-1.7989336,0.0
72,FGFR3,Basal,-1.6209042,0.0
73,FLNA,Basal,1.357805,4.523730894576737e-272
74,FN1,Basal,6.623249,0.0
75,FOS,Basal,-1.6754113,0.0
76,FSTL1,Basal,1.0922842,3.6178099434333404e-137
77,FSTL3,Basal,1.5638138,5.549143017233955e-292
78,FTH1,Basal,1.2364516,0.0
79,FTL,Basal,1.0196807,4.543523351426027e-263
80,FXYD3,Basal,-1.2676438,0.0
81,FYB1,Basal,1.0563197,9.869335217091806e-138
82,GADD45A,Basal,1.6732469,0.0
