,Genes,Cell type,Log2FC,FDR
0,ALDH3A1,Basal,-1.8560337,2.1870566734138966e-125
1,BIRC3,Basal,1.1483787,5.710438547459205e-95
2,C3,Basal,1.1670631,1.215396024886648e-191
3,CA12,Basal,1.4378501,2.4623203659410377e-174
4,CCL20,Basal,1.8136263,1.2007706858869567e-175
5,CD74,Basal,1.5355859,4.323110533962699e-223
6,CLU,Basal,-1.4672397,1.7089935952959446e-96
7,CXCL14,Basal,1.660537,4.532024038917995e-72
8,CXCL8,Basal,1.0800083,2.804709537657768e-132
9,DRAM1,Basal,1.0491961,5.192231944890612e-69
10,FN1,Basal,1.9097443,4.829202515266185e-09
11,HLA-B,Basal,1.0496962,2.1211354643675956e-189
12,IGFBP7,Basal,1.4690156,2.809132893633498e-148
13,IL32,Basal,1.3375981,1.2754648330086334e-104
14,ITGAV,Basal,1.0703287,2.055164695696983e-86
15,ITGB6,Basal,1.1322402,8.496060663292406e-104
16,KRT13,Basal,-1.5959692,4.600234296737427e-172
17,KRT15,Basal,-1.3851411,8.936780459837802e-120
18,KRT17,Basal,1.0344145,9.637928018240913e-92
19,KRT4,Basal,-1.4039235,8.034111020202464e-17
20,KYNU,Basal,1.0176518,3.62550835215945e-73
21,LAMA3,Basal,1.516917,1.5399157912994807e-126
22,LAMB3,Basal,1.1613519,5.564819913194803e-149
23,LAMC2,Basal,1.7858176,3.0337576267745456e-185
24,LGALS1,Basal,1.3608152,4.8809126798247705e-71
25,MMP13,Basal,2.01741,3.285557468716467e-97
26,MMP9,Basal,2.4307358,1.1951986566521868e-90
27,NFKBIA,Basal,1.0343584,2.9222679920150815e-145
28,PI3,Basal,1.1423428,2.8733391562871136e-11
29,PLAU,Basal,1.3462155,1.5001998318360307e-168
30,S100A8,Basal,1.2099004,3.0190112969749508e-43
31,SCGB3A1,Basal,-1.0595357,1.5477065690501343e-11
32,SEMA3C,Basal,1.3111808,2.460375938905068e-120
33,SOD2,Basal,2.1034203,1.4481189859509562e-166
34,TCN1,Basal,-1.0334984,8.195630514443076e-84
35,TFPI2,Basal,1.0293624,1.2792551966932296e-57
36,TNFAIP3,Basal,1.4634805,2.4678881941830195e-171
37,CLU,Secretory,-1.4502689,2.1493400460990964e-69
38,CXCL6,Secretory,1.056399,5.804918170636581e-24
39,CXCL8,Secretory,1.0316992,1.2121749541080444e-224
40,CYP2F1,Secretory,-1.0728096,7.070261444803634e-58
41,KRT13,Secretory,-1.2159817,6.784076659177574e-21
42,LTF,Secretory,1.1133714,3.104474149176544e-08
43,OLFM4,Secretory,1.3954563,3.5143291159496216e-16
44,PI3,Secretory,2.371712,4.425206709880085e-115
45,SCGB1A1,Secretory,-2.541172,1.4728687011621226e-27
46,SCGB3A1,Secretory,-1.0576072,3.623055009124155e-42
47,SERPINB7,Secretory,1.5453316,5.446326260071509e-60
48,SLC26A4,Secretory,1.4643593,1.1373341791369136e-16
49,SOD2,Secretory,1.0146096,5.1164770757950545e-126
50,TCIM,Secretory,1.5272274,2.4940503988716228e-198
51,TFF3,Secretory,-1.0069629,3.8530412902486236e-07
52,ALDH3A1,Multiciliated,-1.2093344,1.0155676381709728e-75
53,BPIFB1,Multiciliated,-1.3726068,1.8314241172204264e-11
54,CD74,Multiciliated,1.0408149,2.459522215221596e-105
55,CLU,Multiciliated,-1.1904185,2.4536696266855702e-58
56,H19,Multiciliated,-1.0393687,0.0011180871291337074
57,HLA-A,Multiciliated,1.0011485,7.072449190213777e-52
58,HLA-B,Multiciliated,1.1459007,2.2321295450058026e-79
59,HLA-DQA1,Multiciliated,1.658256,1.2148831685432853e-30
60,KRT4,Multiciliated,-1.1216234,6.795562103301879e-15
61,LCN2,Multiciliated,1.0882592,1.915848632146593e-57
62,LYPD2,Multiciliated,2.0881016,1.54686962602312e-43
63,MUC13,Multiciliated,1.671617,3.272542806068205e-33
64,NFKBIA,Multiciliated,1.1234148,1.6227191549230346e-28
65,SAA1,Multiciliated,1.58457,7.617198688761157e-70
66,SAA2,Multiciliated,1.4580872,4.7515076146473545e-56
67,SAA4,Multiciliated,1.1526947,8.203086653718596e-15
68,SCGB1A1,Multiciliated,-1.529283,0.04566246879441828
69,SCGB3A1,Multiciliated,-1.3503573,1.3137333841515818e-06
70,TNFAIP2,Multiciliated,1.4983933,1.696507440857029e-32
71,CD74,Rare,2.19739,0.016148180203419734
72,TSC22D1,Rare,1.2140236,0.016148180203419734
