,Shared-1,Shared-2,Shared-3,CHIR,IL13,IFNA,IFNG-1,IFNG-2,IFNG-3,TGFB1-1,TGFB1-2
ATI,,,,,0.07530163781483236,,,0.5169103351346177,,0.29101443549245476,0.5785223358992786
ATII,,,,0.45258702095233067,,,,,0.2271270797973021,,0.7056032510843815
Aberrant_Basaloid,1.8906606562334565,,0.1156044511179666,1.3958899994299916,,1.2051580098622041,0.25082545319007904,0.5966823713095222,1.0260384251261434,1.9426393798020434,2.4738373418925264
Basal,,0.7171623069074674,,0.570876163170069,,,,,0.27497610644522974,0.45199197169538147,0.655853886277593
Ciliated,,,,,,,,,,0.10776988462377601,0.11754557638987986
Club,,,,,0.25966615441851226,0.23973060607332441,,0.38933595114450786,0.32270064346567134,0.11430070188666913,0.3221445423529892
Goblet,,,,,,,,,0.1702666995390054,,
Ionocyte,,,,,,,,,,,
Mesothelial,,,,,,,,,,,
PNEC,,,,,,,,,,,
