,Dr_B cell,Dr_HPC,Dr_HSC/thrombocyte,Dr_T cell,Dr_eosinophil,Dr_erythroid,Dr_macrophage,Dr_myeloid progenitor,Dr_neutrophil
Hs_B cell,0.06764579227189162,0.009787928221859706,0.00967741935483871,0.024324324324324326,0.0030864197530864196,0.009029345372460496,0.03167465193148809,0.0,0.01171303074670571
Hs_NK cell,0.027863128491620114,0.009819967266775777,0.0,0.045771775931055705,0.003105590062111801,0.009070294784580499,0.014112903225806451,0.0,0.014727540500736377
Hs_NKT cell,0.03859649122807018,0.011152416356877323,0.004219409282700422,0.057394502516453734,0.004016064257028112,0.005405405405405406,0.014150943396226415,0.0,0.013157894736842105
Hs_T cell,0.022935779816513763,0.011661807580174927,0.002583979328165375,0.06824120825582425,0.002506265664160401,0.021526418786692758,0.014873917676019251,0.0,0.017264276228419653
Hs_basophil,0.0048484848484848485,0.09674248151293706,0.009162303664921465,0.0011961722488038277,0.009062510898429132,0.014573991031390135,0.009433962264150943,0.0,0.02224199288256228
Hs_erythrocyte,0.010752688172043012,0.004608294930875576,0.0,0.0,0.0070921985815602835,0.11866415297603017,0.003115264797507788,0.03690502303136653,0.005940594059405941
Hs_hematopoietic progenitor,0.003368893879842785,0.07501350654453476,0.0040650406504065045,0.003915302837742181,0.004045257124764404,0.026446592581439513,0.011319398752472908,0.0005892751915144372,0.01959841439557964
Hs_macrophage,0.017120994739359158,0.006622516556291391,0.006711409395973154,0.009345794392523364,0.02858179472708216,0.010676156583629894,0.08399638336347197,0.02147804302976717,0.029243677042801557
Hs_monocyte,0.011884251608593228,0.013555787278415016,0.00909090909090909,0.0075710209510384575,0.005934718100890208,0.01910828025477707,0.10282958549967536,0.0039531965524826525,0.054015541928960506
Hs_neutrophil,0.011666666666666667,0.007067137809187279,0.009191176470588236,0.01990049751243781,0.008992805755395683,0.010355029585798817,0.02845295885344429,0.0019342359767891683,0.11084521604273467
Hs_non-classical monocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hs_plasma cell,0.02783026583713598,0.020771872877941296,0.0,0.009774665446491334,0.0,0.008059149087817675,0.009472259810554804,0.0,0.010847176099275012
Hs_plasmacytoid dendritic cell,0.014711978037161412,0.04088307642863323,0.005649717514124294,0.004761904761904762,0.016768560285149482,0.014492753623188406,0.024299065420560748,0.0,0.011019283746556474
Hs_platelet,0.003861003861003861,0.015873015873015872,0.03355704697986577,0.011494252873563218,0.006369426751592357,0.03743091913903432,0.02588298401106283,0.002325581395348837,0.04477611940298507
