Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcGVLG	106413	74487	1162	11874	1017	17873	73482	0	0	0
bcGBRJ	30296	21450	297	3844	73	4632	20200	0	0	0
bcDXPJ	21875	14380	228	2671	198	4398	14132	0	0	0
bcDDTO	17637	10889	162	2681	172	3733	11019	0	0	0
bcDHUH	14102	9644	104	1697	36	2621	8576	0	0	0
bcCLMO	11885	7983	102	1508	35	2257	7244	0	0	0
bcFCAK	9886	6792	93	1023	39	1939	5861	0	0	0
bcECOI	8366	5609	77	992	32	1656	5180	0	0	0
bcDQVJ	6700	4106	69	667	30	1828	3179	0	0	0
bcGAYR	5434	3442	57	763	11	1161	2542	0	0	0
bcAIDR	4491	3043	43	545	19	841	2439	0	0	0
bcHXDM	3861	1615	26	229	10	1981	1110	0	0	0
bcBPMH	3370	2307	38	319	11	695	1881	0	0	0
bcFRMZ	2939	1658	37	336	18	890	1218	0	0	0
bcGBHK	2626	1536	29	350	19	692	1035	0	0	0
bcCUQZ	2383	1425	28	363	19	548	983	0	0	0
bcHVRP	2191	752	24	148	20	1247	571	0	0	0
bcBDYK	2026	402	15	85	5	1519	375	0	0	0
bcEINA	1902	352	23	102	1	1424	328	0	0	0
bcGSOP	1790	339	14	66	4	1367	279	0	0	0
bcAIEN	1710	277	15	59	8	1351	260	0	0	0
bcEEII	1625	922	13	182	4	504	608	0	0	0
bcGDOZ	1562	912	22	175	9	444	707	0	0	0
bcGZCX	1504	315	12	86	1	1090	278	0	0	0
bcEAXC	1448	764	9	164	12	499	555	0	0	0
bcAXVP	1406	378	13	101	24	890	312	0	0	0
bcCXDD	1369	209	12	42	1	1105	176	0	0	0
bcEGEW	1332	207	13	43	0	1069	182	0	0	0
bcIHKQ	1294	296	14	62	3	919	233	0	0	0
bcCQOL	1264	686	18	155	4	401	476	0	0	0
bcCAWB	1234	266	21	47	1	899	222	0	0	0
bcCBTQ	1208	141	13	53	4	997	143	0	0	0
bcEYFT	1181	198	19	71	1	892	194	0	0	0
bcHTAP	1159	180	6	41	2	930	155	0	0	0
bcDZVC	1135	724	9	127	9	266	506	0	0	0
bcCZJG	1114	637	6	30	0	441	462	0	0	0
bcHJUK	1095	201	12	56	1	825	191	0	0	0
bcHTAS	1077	171	10	50	4	842	161	0	0	0
