Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcAAAA	822254	506496	6720	84576	6111	218351	498567	0	0	0
bcHSJQ	39942	23465	370	6453	297	9357	23261	0	0	0
bcCTMZ	29398	19013	290	3447	178	6470	16093	0	0	0
bcGYDS	23459	14923	165	2911	103	5357	13081	0	0	0
bcHDFC	20037	11861	129	1801	103	6143	10438	0	0	0
bcGSKY	17645	10029	160	2217	90	5149	8502	0	0	0
bcHTVI	15448	6178	80	5740	201	3249	6047	0	0	0
bcCLZO	13864	8952	129	1546	68	3169	8305	0	0	0
bcCTLO	12507	7909	95	1352	118	3033	6498	0	0	0
bcCSSC	11505	6942	96	1590	80	2797	6268	0	0	0
bcGWCM	10609	4295	61	3835	148	2270	3973	0	0	0
bcAMIY	9789	5926	73	1155	181	2454	4923	0	0	0
bcBVAZ	9084	4091	58	2288	89	2558	3516	0	0	0
bcEYMR	8359	4814	42	644	28	2831	4013	0	0	0
bcFJDH	7701	4253	67	836	23	2522	3359	0	0	0
bcFXEL	7071	4463	68	760	35	1745	3812	0	0	0
bcBBBA	6544	3929	56	529	21	2009	3396	0	0	0
bcCRAW	5966	3812	45	759	81	1269	2916	0	0	0
bcHBWC	5377	1852	43	287	20	3175	1792	0	0	0
bcARRG	4851	3083	35	430	15	1288	2435	0	0	0
bcFNZX	4211	2496	34	526	41	1114	1890	0	0	0
bcGFKA	3463	2301	20	446	7	689	1609	0	0	0
bcHFLZ	2894	1429	26	239	16	1184	1133	0	0	0
bcEKSC	2417	845	13	271	14	1274	623	0	0	0
bcEEGL	2119	577	14	80	28	1420	469	0	0	0
bcHTGZ	1941	328	9	55	5	1544	279	0	0	0
bcGRBQ	1807	197	7	52	0	1551	195	0	0	0
bcBGOQ	1704	819	11	56	1	817	595	0	0	0
bcDHVU	1623	167	7	51	5	1393	150	0	0	0
bcBHXG	1557	210	7	46	2	1292	192	0	0	0
bcEZDT	1489	258	7	57	4	1163	240	0	0	0
bcBXSB	1444	313	12	68	4	1047	279	0	0	0
bcAKFU	1401	184	2	24	1	1190	173	0	0	0
bcAUJY	1362	159	4	34	0	1165	160	0	0	0
bcDSDA	1328	559	9	68	1	691	424	0	0	0
bcBMXW	1295	240	4	40	1	1010	204	0	0	0
bcDXEN	1263	140	5	44	3	1071	132	0	0	0
bcEPYT	1236	180	7	29	0	1020	161	0	0	0
bcHUEX	1207	158	6	44	2	997	145	0	0	0
bcIIQJ	1182	167	3	32	3	977	160	0	0	0
bcGDBT	1160	224	8	32	1	895	195	0	0	0
bcEGZV	1140	752	7	138	3	240	572	0	0	0
bcBZET	1120	131	5	31	1	952	124	0	0	0
bcHAUX	1099	143	5	25	1	925	138	0	0	0
bcDFWV	1081	195	7	35	4	840	185	0	0	0
bcDOZC	1064	150	10	25	2	877	140	0	0	0
bcGZZI	1048	138	7	23	1	879	132	0	0	0
bcEYDV	1031	121	1	26	2	881	119	0	0	0
bcEPMC	1016	128	5	34	4	845	125	0	0	0
bcDMDM	1003	423	4	79	2	495	303	0	0	0
bcFFPU	988	128	5	41	1	813	117	0	0	0
bcFOQN	976	104	3	42	2	825	102	0	0	0
bcCKCE	965	144	5	27	3	786	125	0	0	0
bcEATN	954	135	4	32	0	783	127	0	0	0
bcHNQD	944	119	5	22	4	794	106	0	0	0
bcAVXI	933	148	5	28	1	751	141	0	0	0
bcFJHX	924	99	2	28	3	792	90	0	0	0
bcDBMR	913	127	5	36	1	744	124	0	0	0
bcGHKY	905	216	1	31	4	653	190	0	0	0
bcELCB	894	138	8	26	3	719	135	0	0	0
bcHBIG	887	154	6	29	0	698	132	0	0	0
bcGYRY	879	167	3	21	4	684	130	0	0	0
bcETXQ	871	124	4	28	0	715	116	0	0	0
bcCFUP	864	100	8	19	1	736	117	0	0	0
bcFJRL	857	156	4	39	0	658	134	0	0	0
bcDNWE	850	118	1	19	1	711	97	0	0	0
bcBEUX	843	108	0	25	0	710	103	0	0	0
bcCDQP	837	196	6	50	0	585	148	0	0	0
bcGDQL	830	94	1	18	0	717	84	0	0	0
bcGZOV	825	155	7	56	2	605	135	0	0	0
bcHRFE	818	113	3	24	0	678	102	0	0	0
bcBJZJ	812	132	5	21	1	653	128	0	0	0
bcFMMP	806	121	5	27	3	650	109	0	0	0
bcBTIM	800	120	3	34	3	640	110	0	0	0
bcDMFZ	795	119	6	26	0	644	112	0	0	0
bcFABU	789	116	4	20	3	646	108	0	0	0
bcHLUX	784	153	6	31	3	591	135	0	0	0
bcDHXF	778	113	3	20	0	642	103	0	0	0
bcHECG	773	116	3	23	2	629	104	0	0	0
bcDTVF	768	122	3	21	0	622	110	0	0	0
bcCWYG	762	127	5	55	3	572	121	0	0	0
bcFDBN	758	98	0	18	1	641	92	0	0	0
bcEYTA	753	107	2	29	0	615	96	0	0	0
bcCCJI	749	149	9	34	4	553	144	0	0	0
